統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10309,宜蘭縣宜蘭市,七張里,521,1734,914,820,7,8,5,10,8,9,4,5,7,9,6,8,11,8,10,10,18,12,15,15,7,7,13,10,8,14,11,9,9,10,9,0,10,11,11,15,17,8,16,14,14,12,14,10,16,17,13,8,18,11,13,10,14,7,9,9,16,14,16,12,21,13,18,14,10,17,16,14,11,14,14,9,13,5,10,14,10,15,10,12,9,8,14,9,11,14,13,14,10,15,20,10,15,17,18,13,12,11,12,16,14,5,15,17,20,5,15,14,11,10,14,11,11,6,13,13,9,5,9,9,14,9,7,11,11,8,9,8,12,6,11,7,3,5,4,3,6,2,4,3,7,12,1,4,6,3,5,4,12,7,5,7,4,6,6,8,5,5,11,7,1,8,4,6,4,3,6,2,1,3,1,4,3,7,0,1,0,5,2,0,1,3,1,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
10309,宜蘭縣宜蘭市,七結里,1125,3196,1474,1722,6,17,9,9,18,15,13,16,10,12,28,18,12,18,20,28,27,21,23,25,25,27,30,21,24,31,31,34,38,31,23,21,24,24,25,27,24,28,31,22,21,26,16,26,25,28,34,20,21,18,24,20,27,21,19,22,22,19,21,21,18,30,15,20,21,24,27,36,21,33,30,23,18,23,19,29,23,28,15,32,23,31,16,36,24,27,20,33,29,44,22,35,27,22,21,25,17,21,30,25,21,21,20,28,16,34,19,22,12,29,21,20,13,26,18,20,20,22,14,17,12,21,19,25,16,23,12,11,10,18,9,15,8,12,5,15,8,1,6,11,8,6,6,13,6,9,7,7,9,4,5,5,7,1,5,6,2,10,4,3,2,5,1,3,3,0,5,6,3,0,5,2,2,2,1,1,2,0,2,2,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
10309,宜蘭縣宜蘭市,中山里,484,1091,562,529,2,3,3,2,3,3,4,3,3,7,5,4,3,2,3,2,3,2,1,0,2,2,1,1,4,2,2,2,6,3,6,1,8,3,3,0,4,7,8,7,12,6,10,9,7,5,7,8,7,6,6,5,6,5,3,5,9,6,5,11,9,9,7,5,9,8,6,11,8,5,14,9,9,3,10,7,7,8,2,8,13,6,9,8,6,5,9,8,11,4,8,8,8,13,3,7,13,6,7,9,7,7,9,7,8,11,14,8,18,9,7,11,13,7,5,4,16,10,6,4,12,11,11,8,10,14,11,8,10,2,5,9,3,5,1,6,1,3,3,8,4,3,5,6,3,7,4,9,7,3,4,8,5,6,6,6,9,9,4,4,4,2,4,5,4,3,3,3,0,5,3,1,0,5,2,3,3,4,2,4,2,2,0,2,0,2,0,2,0,2,0,0,0,0,0,1,0,0,0,1,0,0,
10309,宜蘭縣宜蘭市,中興里,1227,3459,1658,1801,21,12,13,11,9,16,13,14,13,16,15,12,12,17,16,20,20,12,14,13,20,14,19,25,20,21,21,16,17,22,6,30,22,21,31,26,21,24,23,21,22,17,18,34,24,22,32,26,45,19,33,30,27,28,24,41,35,28,19,28,25,23,36,26,32,18,34,30,27,23,24,28,31,32,24,29,25,28,27,30,20,21,24,31,24,18,23,26,26,33,29,28,29,24,20,27,25,24,27,27,26,25,22,28,32,28,33,35,24,30,27,39,20,31,15,22,27,42,20,30,20,23,20,26,26,21,14,15,12,12,16,17,7,22,9,12,7,11,8,12,4,15,10,14,11,12,3,13,6,16,9,11,9,8,4,9,5,6,4,9,4,7,4,9,6,3,5,2,4,1,7,5,3,1,4,1,4,3,2,4,4,1,0,1,1,2,1,1,1,1,1,2,0,0,0,1,0,0,0,0,0,0,
10309,宜蘭縣宜蘭市,凱旋里,471,1497,768,729,3,7,4,4,7,2,7,2,3,7,6,9,4,8,7,6,12,9,6,8,6,8,9,14,5,12,12,14,8,9,9,8,17,14,15,13,16,13,16,8,13,13,12,12,10,20,12,7,15,8,7,13,16,12,5,4,13,5,15,10,7,9,17,4,13,9,11,18,7,9,11,11,11,12,9,9,13,10,5,11,11,13,12,13,13,14,15,10,17,14,11,8,20,16,6,12,16,11,14,12,9,10,19,8,16,7,12,10,17,14,11,12,11,14,8,11,13,7,7,5,7,6,12,8,9,5,6,2,5,6,4,6,7,2,0,8,2,3,1,6,5,3,4,7,7,6,3,2,7,6,5,4,2,6,3,2,4,9,4,4,5,1,2,5,1,0,2,3,3,0,0,3,4,3,1,6,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
10309,宜蘭縣宜蘭市,北津里,918,2604,1291,1313,9,3,8,10,10,6,12,7,16,9,8,8,11,11,4,7,13,15,5,8,11,9,11,7,15,9,16,17,13,14,18,13,24,15,20,18,15,25,18,32,24,17,27,30,25,21,18,25,20,18,18,18,23,16,21,20,24,17,22,20,22,24,31,28,31,23,29,27,25,12,26,25,31,19,27,12,23,31,14,15,16,21,14,17,18,13,17,15,11,14,11,26,18,13,19,26,17,19,25,27,23,20,24,26,16,20,25,17,22,28,20,22,13,31,10,19,13,22,22,20,17,26,18,15,16,31,9,13,11,13,13,14,11,9,6,7,8,3,5,6,8,10,11,7,4,10,7,11,8,11,6,6,4,6,4,7,2,1,0,3,5,2,4,5,3,2,4,6,2,5,3,1,4,1,1,2,1,2,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
10309,宜蘭縣宜蘭市,北門里,503,1392,720,672,3,2,5,5,5,3,3,4,10,2,6,3,3,3,3,5,5,3,6,6,8,2,8,4,1,3,10,3,4,7,9,8,11,7,7,7,10,7,7,8,11,8,9,12,9,10,9,13,14,12,7,7,13,8,21,10,20,14,12,6,13,11,11,11,14,16,6,8,7,12,13,9,13,8,14,6,11,12,10,7,11,8,8,13,15,10,7,12,4,12,14,4,9,5,13,17,11,10,3,10,13,15,12,12,12,11,14,9,14,10,12,16,11,9,10,11,11,7,10,11,9,13,7,8,15,9,11,10,4,7,5,5,5,5,3,4,1,5,4,7,7,6,5,7,9,2,6,5,7,10,6,5,3,6,7,4,3,6,3,7,3,7,5,7,3,3,3,2,3,5,4,2,0,1,0,3,0,1,0,3,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
10309,宜蘭縣宜蘭市,南橋里,451,1396,722,674,4,4,4,6,6,5,6,9,6,2,4,5,2,3,12,6,2,7,6,9,15,10,9,9,14,10,12,6,10,7,6,5,11,4,12,6,9,11,13,14,12,7,14,12,8,6,16,13,6,15,10,14,11,11,9,10,2,6,9,9,6,18,8,6,15,12,10,9,13,14,9,9,13,7,8,9,7,12,9,13,11,6,13,12,8,9,11,12,9,8,10,8,16,6,17,8,12,12,7,15,13,13,16,11,10,8,14,10,6,7,15,10,9,12,6,14,15,9,3,8,13,3,7,8,7,5,9,9,10,3,6,5,6,5,4,7,5,1,4,7,1,5,4,6,9,3,4,4,6,9,8,5,7,5,4,1,4,4,4,5,2,7,3,4,1,2,3,2,3,1,2,1,2,3,2,1,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,
10309,宜蘭縣宜蘭市,南津里,1011,2397,1170,1227,7,4,5,15,11,10,7,6,12,11,13,14,17,14,9,18,15,13,9,19,17,17,16,13,21,23,22,18,13,13,10,9,13,14,15,14,15,15,15,11,18,11,14,14,21,21,10,9,10,4,9,10,9,13,9,3,10,11,8,10,10,13,18,12,11,19,17,11,13,20,13,14,19,15,14,16,16,23,23,27,26,19,18,18,21,23,24,24,18,22,15,19,15,18,26,17,24,16,22,13,18,20,22,10,19,13,22,18,14,17,15,12,20,14,9,21,16,10,16,15,24,10,11,19,11,19,9,13,9,15,8,7,6,13,3,5,8,7,7,6,6,13,7,10,5,14,6,15,5,17,10,17,4,14,6,17,7,10,3,10,7,9,7,9,5,6,10,11,10,13,8,9,12,4,10,5,9,5,6,4,4,2,3,2,5,3,0,2,3,1,1,4,0,1,1,0,0,0,0,0,0,0,
10309,宜蘭縣宜蘭市,南門里,696,1877,919,958,7,9,7,4,14,8,12,12,4,8,8,8,18,12,12,10,9,6,11,12,11,7,14,7,9,12,14,12,14,10,16,11,12,12,17,10,15,15,16,6,11,10,13,15,14,7,13,6,13,12,10,15,11,18,6,15,11,8,13,8,12,14,13,19,12,17,14,20,19,24,18,20,11,14,9,21,19,10,7,10,19,19,8,11,9,12,11,14,13,16,10,12,15,20,12,14,7,14,9,10,11,8,15,15,11,12,20,11,8,20,12,11,12,9,14,14,13,17,14,18,12,18,9,13,10,11,10,16,14,10,12,13,12,5,5,9,6,6,5,5,4,2,10,10,8,7,8,9,4,12,4,9,4,6,1,5,5,1,7,0,1,7,7,2,4,6,5,6,4,6,2,3,3,1,3,3,1,3,2,0,1,1,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,
