"統計年月","區域別","村里","戶數","人口數","人口數-男","人口數-女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","苗栗縣通霄鎮","五南里","497","1643","844","799",196,183,182,161,180,182,92,77,29,41,679,644
"10309","苗栗縣通霄鎮","內島里","295","956","516","440",113,129,118,91,122,74,54,43,26,28,433,365
"10309","苗栗縣通霄鎮","內湖里","664","2355","1245","1110",281,259,253,223,267,210,126,123,49,59,976,874
"10309","苗栗縣通霄鎮","南和里","339","957","528","429",85,78,112,84,124,93,81,66,37,40,439,361
"10309","苗栗縣通霄鎮","圳頭里","271","892","480","412",98,98,93,62,122,84,64,58,23,30,400,332
"10309","苗栗縣通霄鎮","坪頂里","457","1471","789","682",142,145,190,142,166,105,110,102,52,45,660,539
"10309","苗栗縣通霄鎮","城北里","293","852","446","406",79,87,107,83,109,69,54,68,35,33,384,340
"10309","苗栗縣通霄鎮","城南里","391","1107","625","482",90,78,164,95,160,101,89,84,34,51,537,409
"10309","苗栗縣通霄鎮","平元里","683","2285","1197","1088",290,290,264,208,230,236,118,110,35,35,937,879
"10309","苗栗縣通霄鎮","平安里","754","2584","1311","1273",328,318,281,269,266,257,113,117,29,50,1017,1011
"10309","苗栗縣通霄鎮","新埔里","427","1481","787","694",163,183,189,120,149,138,104,88,45,43,650,572
"10309","苗栗縣通霄鎮","梅南里","550","1949","1031","918",236,227,234,182,205,179,122,97,31,58,828,743
"10309","苗栗縣通霄鎮","楓樹里","232","541","320","221",42,33,76,30,82,45,58,54,23,34,281,196
"10309","苗栗縣通霄鎮","烏眉里","398","1089","584","505",94,94,109,86,153,83,94,87,40,58,490,408
"10309","苗栗縣通霄鎮","白東里","512","1687","864","823",215,217,201,159,196,174,65,79,35,32,712,661
"10309","苗栗縣通霄鎮","白西里","305","905","506","399",109,82,115,86,134,96,54,44,26,36,438,344
"10309","苗栗縣通霄鎮","福源里","307","990","527","463",114,101,153,90,94,88,52,43,17,33,430,355
"10309","苗栗縣通霄鎮","福興里","326","816","451","365",73,64,91,72,130,71,65,58,26,36,385,301
"10309","苗栗縣通霄鎮","福龍里","219","507","295","212",35,32,70,37,72,35,60,42,28,36,265,182
"10309","苗栗縣通霄鎮","通南里","974","3407","1775","1632",479,407,360,316,357,381,148,160,55,62,1399,1326
"10309","苗栗縣通霄鎮","通東里","489","1445","713","732",169,174,148,132,170,148,75,100,36,49,598,603
"10309","苗栗縣通霄鎮","通灣里","817","2817","1473","1344",342,320,336,275,315,267,141,158,41,59,1175,1079
"10309","苗栗縣通霄鎮","通西里","848","2471","1248","1223",292,276,273,218,263,253,146,176,60,82,1034,1005
"10309","苗栗縣竹南鎮","中港里","448","1349","711","638",159,135,158,138,145,117,66,68,17,25,545,483
"10309","苗栗縣竹南鎮","中美里","734","2507","1294","1213",341,284,303,290,273,269,72,83,26,29,1015,955
"10309","苗栗縣竹南鎮","中英里","539","1798","919","879",261,222,220,208,186,179,59,74,15,20,741,703
"10309","苗栗縣竹南鎮","中華里","1094","3424","1725","1699",417,394,418,405,323,338,115,149,36,50,1309,1336
"10309","苗栗縣竹南鎮","佳興里","1311","4224","2107","2117",425,459,489,525,278,342,171,172,32,32,1395,1530
"10309","苗栗縣竹南鎮","公義里","385","1305","696","609",175,168,140,114,156,134,46,48,27,26,544,490
"10309","苗栗縣竹南鎮","公<U+8218>里","453","1475","780","695",189,174,173,143,168,159,60,71,29,32,619,579
"10309","苗栗縣竹南鎮","大厝里","2220","6492","3246","3246",803,753,795,796,499,525,248,265,56,83,2401,2422
"10309","苗栗縣竹南鎮","大埔里","1270","3988","2054","1934",555,514,446,358,438,439,161,163,53,71,1653,1545
"10309","苗栗縣竹南鎮","天文里","832","2676","1342","1334",340,368,326,323,208,227,66,61,13,16,953,995
"10309","苗栗縣竹南鎮","山佳里","1931","5778","2910","2868",672,691,776,751,418,471,147,144,32,51,2045,2108
"10309","苗栗縣竹南鎮","崎頂里","1479","4280","2253","2027",590,555,581,448,471,428,129,145,56,72,1827,1648
"10309","苗栗縣竹南鎮","新南里","1819","5270","2614","2656",581,633,681,692,431,442,179,191,39,86,1911,2044
"10309","苗栗縣竹南鎮","正南里","1304","3452","1743","1709",392,358,391,412,351,336,153,158,39,62,1326,1326
"10309","苗栗縣竹南鎮","海口里","1402","4400","2243","2157",487,502,643,576,334,323,133,139,45,71,1642,1611
"10309","苗栗縣竹南鎮","港墘里","747","2482","1282","1200",287,302,297,280,234,194,110,95,34,44,962,915
"10309","苗栗縣竹南鎮","照南里","1488","4464","2211","2253",422,445,507,554,333,351,199,221,70,69,1531,1640
"10309","苗栗縣竹南鎮","營盤里","1316","4135","2059","2076",454,456,532,544,321,354,176,210,30,45,1513,1609
"10309","苗栗縣竹南鎮","竹南里","933","2450","1155","1295",219,280,257,300,239,279,121,142,44,49,880,1050
"10309","苗栗縣竹南鎮","竹興里","1266","3861","2006","1855",523,462,491,437,366,389,127,155,53,43,1560,1486
"10309","苗栗縣竹南鎮","聖福里","1391","4616","2318","2298",469,454,561,619,343,368,147,164,29,33,1549,1638
"10309","苗栗縣竹南鎮","開元里","297","930","477","453",129,116,113,110,90,74,33,35,11,14,376,349
"10309","苗栗縣竹南鎮","頂埔里","830","2635","1350","1285",325,340,312,273,295,284,145,139,25,36,1102,1072
"10309","苗栗縣竹南鎮","龍山里","809","2692","1333","1359",333,321,329,333,212,235,67,84,19,22,960,995
"10309","苗栗縣竹南鎮","龍鳳里","825","2670","1319","1351",345,346,311,320,249,272,90,108,17,21,1012,1067
"10309","苗栗縣頭份鎮","上埔里","915","3133","1649","1484",411,334,367,302,336,316,153,164,40,57,1307,1173
"10309","苗栗縣頭份鎮","上興里","817","2269","1200","1069",299,279,278,263,231,202,89,72,38,29,935,845
"10309","苗栗縣頭份鎮","下興里","938","3049","1587","1462",360,333,396,351,299,293,141,131,42,47,1238,1155
"10309","苗栗縣頭份鎮","仁愛里","701","1900","933","967",197,198,204,220,206,203,96,109,34,36,737,766
