統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10309,嘉義市東 區,中央里,1042,2698,1343,1355,10,10,14,11,12,12,9,3,9,8,12,13,20,22,7,9,13,15,13,10,18,11,11,10,10,11,14,16,17,15,15,12,8,11,13,19,22,10,14,12,17,10,12,17,11,13,24,12,21,22,20,17,12,13,23,17,14,13,16,24,18,20,20,21,25,26,13,24,12,17,16,18,18,21,19,23,14,16,17,15,15,18,23,19,22,27,14,15,12,15,13,21,12,21,16,17,25,20,26,21,27,21,17,19,26,22,24,9,24,18,20,19,22,23,15,21,20,25,21,17,25,16,16,17,25,26,21,21,24,15,13,21,22,17,18,21,15,8,8,10,14,12,9,15,17,13,8,8,9,8,10,18,8,6,11,19,7,5,12,8,5,16,5,12,5,4,8,10,2,9,4,4,6,7,5,4,5,5,0,4,4,2,1,1,2,2,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,
10309,嘉義市東 區,中山里,972,2255,1031,1224,4,4,6,4,11,6,12,11,8,6,8,8,5,15,13,10,7,8,15,11,12,6,10,14,15,21,13,20,9,18,16,11,12,13,14,23,15,13,15,12,16,17,17,14,14,8,18,14,14,10,16,9,8,12,10,10,13,19,16,14,16,17,9,17,15,13,11,14,17,14,15,16,7,21,11,7,17,20,16,20,18,14,9,21,11,27,18,18,16,22,19,25,17,22,20,18,10,18,11,15,22,19,11,20,18,19,22,19,14,17,11,14,18,19,10,20,17,24,22,25,16,11,16,20,6,7,9,19,9,12,9,11,8,10,4,20,5,8,4,11,6,14,13,7,13,16,12,6,6,5,8,11,4,10,8,9,7,15,4,10,7,5,6,7,8,15,5,6,2,7,5,3,2,5,4,5,3,6,3,5,2,7,3,0,0,2,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,
10309,嘉義市東 區,中庄里,1494,4075,1966,2109,9,9,15,10,13,15,15,8,10,11,19,12,21,15,21,19,20,25,29,22,38,30,31,27,40,26,53,34,51,32,26,37,36,33,34,36,33,38,38,26,34,27,26,28,30,37,30,25,20,22,17,28,31,27,21,24,25,30,22,29,18,29,39,27,31,35,34,24,35,35,31,26,25,42,22,26,29,40,20,37,27,41,34,37,43,45,32,52,32,45,32,32,30,37,36,35,34,38,34,35,31,38,26,34,26,35,27,30,21,23,26,33,22,28,17,30,23,27,23,23,19,24,21,32,21,35,24,20,15,15,15,14,7,18,8,11,13,12,14,18,9,15,7,16,7,15,11,14,11,10,13,11,17,10,8,7,8,8,8,10,8,7,2,2,5,4,2,6,3,5,4,2,3,1,4,2,4,0,2,2,1,0,1,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
10309,嘉義市東 區,仁義里,1307,3744,1776,1968,19,3,16,12,13,13,13,11,14,4,16,12,16,23,21,16,22,23,22,20,34,32,38,23,30,34,52,39,53,31,38,37,29,31,32,35,34,34,35,32,36,34,28,24,22,30,32,28,29,23,32,37,28,23,27,27,19,28,21,27,22,31,16,37,26,25,32,32,23,17,20,29,24,35,31,29,23,31,18,30,13,34,26,36,18,37,22,36,32,41,27,36,27,34,29,36,28,29,29,43,30,41,38,30,17,27,26,34,28,32,17,35,21,32,16,28,23,30,23,28,17,15,20,12,16,16,22,26,8,12,10,13,13,15,9,9,5,2,6,5,11,9,13,11,7,9,5,16,7,10,6,5,6,6,8,5,2,8,6,6,3,6,6,4,1,5,5,2,6,5,4,6,2,0,0,3,0,2,0,1,2,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
10309,嘉義市東 區,北門里,1090,2873,1417,1456,14,18,15,10,12,10,15,14,12,10,14,7,18,16,16,7,10,16,8,11,11,12,16,15,12,17,15,20,16,26,28,15,11,17,14,14,21,22,17,8,17,18,17,12,12,19,16,18,13,22,16,18,21,16,19,30,21,8,23,23,21,15,15,20,23,18,20,23,26,15,18,25,23,23,16,27,14,20,14,18,15,21,17,27,19,30,20,19,18,15,27,24,25,13,22,19,17,20,17,16,14,26,21,22,29,17,24,18,22,18,18,21,26,17,23,15,17,19,32,15,15,27,22,18,25,21,26,20,17,20,19,21,21,14,8,11,9,10,8,16,7,12,9,14,14,12,13,17,14,11,8,15,8,10,7,7,16,13,9,13,2,8,3,9,9,10,3,10,7,5,6,13,6,7,9,3,4,5,3,3,2,1,2,6,0,2,1,1,0,3,0,1,1,1,0,1,1,0,0,0,0,0,
10309,嘉義市東 區,圳頭里,1877,4979,2369,2610,15,17,14,8,24,17,9,15,15,10,16,15,9,12,27,19,12,21,28,29,19,22,19,28,23,47,35,31,33,38,45,31,27,33,38,37,43,40,34,33,44,34,38,33,44,30,22,40,38,26,43,29,33,30,34,25,27,31,32,29,30,33,35,34,33,39,38,34,31,45,39,37,32,35,41,39,33,38,28,31,30,30,31,32,36,44,45,45,36,45,53,40,38,49,31,49,41,54,44,48,46,38,42,48,48,50,39,31,27,36,27,35,36,32,37,30,30,34,29,31,27,31,25,35,26,49,17,41,19,29,20,31,21,22,11,27,11,24,9,25,7,26,10,30,9,21,14,36,11,33,5,23,13,19,9,18,6,16,12,16,9,13,5,11,22,9,15,5,14,4,12,3,16,8,15,4,14,6,16,3,8,9,4,0,3,2,2,1,3,4,3,0,0,0,0,0,0,0,0,0,0,0,
10309,嘉義市東 區,太平里,2027,5448,2533,2915,20,11,33,27,26,30,26,28,28,33,29,39,33,21,28,26,26,30,34,28,29,30,63,46,46,37,56,44,47,52,45,55,37,45,55,43,41,49,40,38,42,39,38,36,32,45,39,26,28,38,18,31,33,32,24,32,33,29,47,33,39,47,34,35,34,35,26,32,30,53,43,39,34,55,35,56,36,51,29,67,32,42,34,49,29,50,38,62,48,76,41,48,43,51,39,45,48,39,33,48,36,49,38,36,37,42,37,48,34,46,37,36,27,42,34,33,26,40,35,31,32,31,24,28,27,26,20,31,15,21,25,24,19,19,10,19,14,13,13,21,14,25,13,18,11,16,5,15,13,12,7,11,13,16,11,21,13,18,13,12,14,7,4,9,6,9,5,8,8,9,10,4,7,10,5,5,5,6,2,3,1,1,1,3,6,2,2,3,0,0,0,2,2,0,0,0,1,0,0,0,0,1,
10309,嘉義市東 區,安寮里,1204,3156,1562,1594,14,7,8,10,16,13,7,8,6,9,7,11,8,14,7,19,11,12,13,10,8,13,12,20,19,14,17,13,20,21,17,13,14,13,17,13,22,13,23,24,19,20,25,18,22,17,26,22,22,13,24,7,24,19,21,18,23,18,31,24,19,18,23,19,30,30,27,37,25,26,34,22,28,29,22,25,21,15,23,28,27,32,27,21,24,22,25,23,24,33,26,19,28,18,19,26,22,23,19,18,23,25,26,29,20,33,21,21,34,20,21,27,28,25,13,26,26,20,27,36,27,17,20,25,15,20,20,35,23,22,20,19,15,32,15,12,13,10,10,16,13,14,11,18,12,14,8,18,13,12,11,13,10,10,7,8,8,11,9,9,7,11,4,7,7,10,6,5,6,9,4,4,0,5,6,2,2,2,0,0,0,2,0,2,1,3,2,0,1,2,0,0,0,1,0,0,1,1,0,0,0,1,
10309,嘉義市東 區,安業里,852,2329,1132,1197,9,7,9,7,9,7,2,6,8,4,6,5,9,6,5,5,6,5,12,2,6,14,13,15,23,19,18,25,26,12,14,12,18,14,23,18,10,25,18,20,20,15,17,20,21,15,20,17,20,12,21,20,14,19,17,7,14,12,17,23,18,18,16,23,22,14,15,17,21,17,19,29,15,21,13,21,21,13,15,15,7,17,18,15,11,29,16,22,15,16,14,12,17,20,22,13,15,29,22,17,18,20,26,17,20,15,15,35,14,18,18,18,24,17,16,16,13,19,10,23,14,21,11,10,16,14,14,15,15,11,14,12,10,11,10,9,5,7,5,6,6,7,6,8,4,9,8,7,4,9,8,15,4,12,7,6,5,7,6,6,1,5,3,9,6,4,1,1,5,4,2,2,4,3,1,0,0,2,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
10309,嘉義市東 區,宣信里,626,1636,825,811,6,3,8,9,4,4,2,6,4,5,6,3,4,5,5,5,3,3,7,6,7,2,5,4,2,9,8,7,11,5,6,6,9,9,13,9,6,3,10,9,10,11,8,8,12,6,13,13,11,12,14,18,11,7,9,20,7,11,13,10,10,9,13,11,14,10,9,11,17,11,9,10,10,15,12,12,15,11,7,8,10,7,10,11,9,18,15,8,17,9,12,14,11,10,11,7,19,17,10,6,10,10,9,9,14,11,17,13,14,18,11,15,12,5,17,13,20,19,8,13,11,13,16,7,12,21,7,13,13,12,12,6,5,6,13,12,6,5,8,7,5,10,14,9,7,13,7,9,11,10,8,5,5,8,11,4,8,4,0,7,8,9,5,6,1,6,6,8,3,6,4,7,2,5,3,3,2,2,3,1,2,2,0,1,0,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,
