"統計年月","區域別","村里","戶數","人口數","人口數-男","人口數-女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","宜蘭縣宜蘭市","七張里","521","1734","914","820",219,182,191,182,184,137,90,83,28,44,712,628
"10309","宜蘭縣宜蘭市","七結里","1125","3196","1474","1722",332,364,334,434,243,337,95,118,29,24,1033,1277
"10309","宜蘭縣宜蘭市","中山里","484","1091","562","529",111,104,129,109,157,121,64,92,27,47,488,473
"10309","宜蘭縣宜蘭市","中興里","1227","3459","1658","1801",433,393,378,406,338,407,112,187,51,45,1312,1438
"10309","宜蘭縣宜蘭市","凱旋里","471","1497","768","729",173,153,184,176,162,125,58,74,19,26,596,554
"10309","宜蘭縣宜蘭市","北津里","918","2604","1291","1313",360,316,287,293,259,323,97,111,31,27,1034,1070
"10309","宜蘭縣宜蘭市","北門里","503","1392","720","672",176,158,156,143,165,158,74,84,25,37,596,580
"10309","宜蘭縣宜蘭市","南橋里","451","1396","722","674",149,162,160,146,153,130,76,72,21,26,559,536
"10309","宜蘭縣宜蘭市","南津里","1011","2397","1170","1227",187,181,294,284,235,226,91,175,101,90,908,956
"10309","宜蘭縣宜蘭市","南門里","696","1877","919","958",185,208,177,217,185,203,95,99,37,40,679,767
"10309","宜蘭縣宜蘭市","大新里","385","956","461","495",92,87,96,114,111,89,65,80,19,38,383,408
"10309","宜蘭縣宜蘭市","孝廉里","530","1387","742","645",163,122,180,144,158,128,79,100,40,40,620,534
"10309","宜蘭縣宜蘭市","小東里","650","1718","873","845",219,184,206,168,184,212,105,136,30,37,744,737
"10309","宜蘭縣宜蘭市","延平里","1319","3888","1862","2026",412,420,462,582,300,329,105,138,38,32,1317,1501
"10309","宜蘭縣宜蘭市","建業里","676","1948","1000","948",210,190,231,242,193,179,99,86,22,24,755,721
"10309","宜蘭縣宜蘭市","建軍里","750","2101","978","1123",231,257,199,256,181,243,72,84,18,23,701,863
"10309","宜蘭縣宜蘭市","復興里","1387","3369","1599","1770",368,366,355,397,304,371,158,251,74,79,1259,1464
"10309","宜蘭縣宜蘭市","思源里","1894","5297","2537","2760",595,543,535,773,456,561,126,131,44,34,1756,2042
"10309","宜蘭縣宜蘭市","慈安里","772","2005","935","1070",237,246,226,276,178,223,58,104,25,29,724,878
"10309","宜蘭縣宜蘭市","成功里","1316","3803","1815","1988",427,402,438,536,280,385,100,132,48,36,1293,1491
"10309","宜蘭縣宜蘭市","擺厘里","1334","3348","1566","1782",398,421,323,394,339,435,121,157,43,32,1224,1439
"10309","宜蘭縣宜蘭市","文化里","1458","3994","1900","2094",408,403,373,511,356,431,156,216,67,66,1360,1627
"10309","宜蘭縣宜蘭市","新東里","1397","3900","1817","2083",414,431,428,553,305,435,108,161,39,49,1294,1629
"10309","宜蘭縣宜蘭市","新民里","812","1864","962","902",197,151,203,182,227,218,161,158,34,64,822,773
"10309","宜蘭縣宜蘭市","新生里","1005","2983","1520","1463",414,373,342,291,314,332,136,130,32,48,1238,1174
"10309","宜蘭縣宜蘭市","東村里","848","2586","1288","1298",314,316,294,314,228,260,77,86,20,21,933,997
"10309","宜蘭縣宜蘭市","東門里","489","1130","583","547",108,94,131,116,144,133,97,86,24,36,504,465
"10309","宜蘭縣宜蘭市","梅洲里","1191","3617","1874","1743",472,438,434,377,365,377,185,162,47,54,1503,1408
"10309","宜蘭縣宜蘭市","民族里","1106","2972","1455","1517",257,244,296,349,265,287,147,237,84,63,1049,1180
"10309","宜蘭縣宜蘭市","民權里","963","2063","1062","1001",223,181,244,234,239,259,105,102,49,46,860,822
"10309","宜蘭縣宜蘭市","泰山里","957","2678","1261","1417",274,302,262,344,220,271,75,117,48,29,879,1063
"10309","宜蘭縣宜蘭市","神農里","1277","3108","1503","1605",363,349,303,353,349,371,142,185,65,85,1222,1343
"10309","宜蘭縣宜蘭市","茭白里","812","2348","1158","1190",322,267,272,285,225,266,72,73,29,35,920,926
"10309","宜蘭縣宜蘭市","菜園里","604","1530","746","784",197,170,158,166,167,186,75,112,21,26,618,660
"10309","宜蘭縣宜蘭市","西門里","780","2073","1070","1003",234,213,246,206,236,213,123,145,35,64,874,841
"10309","宜蘭縣宜蘭市","負郭里","1392","3831","1786","2045",386,406,382,501,332,363,122,195,53,51,1275,1516
"10309","宜蘭縣宜蘭市","進士里","956","2459","1204","1255",277,278,255,279,258,304,115,136,42,40,947,1037
"10309","宜蘭縣宜蘭市","黎明里","723","2200","1109","1091",248,228,267,279,194,204,105,84,21,32,835,827
"10309","宜蘭縣羅東鎮","中山里","670","1676","810","866",144,139,163,198,173,163,127,145,27,59,634,704
"10309","宜蘭縣羅東鎮","仁和里","520","1284","622","662",150,129,124,130,134,162,76,109,22,27,506,557
"10309","宜蘭縣羅東鎮","仁德里","573","1437","718","719",159,141,144,161,167,155,73,102,33,30,576,589
"10309","宜蘭縣羅東鎮","仁愛里","1354","4394","2117","2277",479,509,449,530,439,478,139,151,39,44,1545,1712
"10309","宜蘭縣羅東鎮","信義里","1368","3814","1792","2022",339,373,388,500,319,374,144,212,64,73,1254,1532
"10309","宜蘭縣羅東鎮","公正里","1286","3667","1792","1875",346,344,327,446,330,345,157,197,74,85,1234,1417
"10309","宜蘭縣羅東鎮","北成里","1192","3546","1685","1861",371,340,361,467,334,356,129,144,31,55,1226,1362
"10309","宜蘭縣羅東鎮","南昌里","1091","2833","1366","1467",338,332,308,322,278,332,108,158,31,39,1063,1183
"10309","宜蘭縣羅東鎮","南豪里","552","1595","752","843",174,178,148,157,158,178,81,114,34,41,595,668
"10309","宜蘭縣羅東鎮","國華里","1896","5586","2581","3005",573,604,525,747,451,644,176,220,56,61,1781,2276
"10309","宜蘭縣羅東鎮","大新里","759","1862","913","949",178,176,180,239,184,199,100,108,29,35,671,757
"10309","宜蘭縣羅東鎮","成功里","628","1831","874","957",181,215,177,222,165,171,96,107,30,44,649,759
"10309","宜蘭縣羅東鎮","新群里","1067","3139","1564","1575",356,367,332,367,328,336,118,131,30,39,1164,1240
"10309","宜蘭縣羅東鎮","東安里","1594","4473","2092","2381",451,511,449,639,372,456,126,151,37,50,1435,1807
"10309","宜蘭縣羅東鎮","樹林里","1443","4290","2028","2262",427,454,411,530,395,493,175,189,51,56,1459,1722
"10309","宜蘭縣羅東鎮","漢民里","1708","4773","2277","2496",455,437,452,579,413,499,208,274,68,88,1596,1877
"10309","宜蘭縣羅東鎮","竹林里","1203","3751","1814","1937",368,407,370,402,359,405,158,212,82,79,1337,1505
"10309","宜蘭縣羅東鎮","維揚里","1310","3822","1816","2006",412,385,375,475,330,410,150,181,44,52,1311,1503
"10309","宜蘭縣羅東鎮","羅莊里","1354","3514","1628","1886",444,457,350,477,320,425,103,136,26,34,1243,1529
"10309","宜蘭縣羅東鎮","西安里","1162","3367","1619","1748",398,400,367,397,340,394,133,161,34,47,1272,1399
"10309","宜蘭縣羅東鎮","賢文里","1691","4651","2189","2462",450,505,447,552,373,447,236,287,72,102,1578,1893
"10309","宜蘭縣羅東鎮","開明里","680","1710","839","871",175,168,181,181,188,180,111,124,33,65,688,718
"10309","宜蘭縣羅東鎮","集祥里","685","1454","717","737",127,128,173,168,164,162,68,89,27,27,559,574
"10309","宜蘭縣蘇澳鎮","南安里","403","1127","587","540",114,96,140,110,155,159,92,91,30,24,531,480
"10309","宜蘭縣蘇澳鎮","南寧里","420","1285","660","625",121,122,164,132,158,145,100,114,17,31,560,544
"10309","宜蘭縣蘇澳鎮","南建里","473","1530","781","749",163,171,196,161,182,184,107,105,14,27,662,648
"10309","宜蘭縣蘇澳鎮","南強里","363","857","461","396",73,86,125,75,105,91,64,70,26,26,393,348
"10309","宜蘭縣蘇澳鎮","南成里","439","1338","685","653",134,124,169,116,174,169,88,118,34,30,599,557
"10309","宜蘭縣蘇澳鎮","南正里","395","1157","579","578",112,110,136,133,136,141,86,84,21,30,491,498
"10309","宜蘭縣蘇澳鎮","南興里","603","1756","873","883",157,152,205,202,234,229,131,112,30,50,757,745
"10309","宜蘭縣蘇澳鎮","存仁里","367","1133","592","541",116,98,135,120,142,117,63,77,28,42,484,454
"10309","宜蘭縣蘇澳鎮","新城里","518","1545","772","773",177,179,167,168,167,142,77,86,22,45,610,620
"10309","宜蘭縣蘇澳鎮","朝陽里","306","706","388","318",55,62,74,63,114,75,76,52,43,35,362,287
"10309","宜蘭縣蘇澳鎮","東澳里","138","406","212","194",36,39,57,48,54,42,28,29,8,14,183,172
"10309","宜蘭縣蘇澳鎮","永光里","216","538","264","274",45,56,58,48,57,61,31,40,19,31,210,236
"10309","宜蘭縣蘇澳鎮","永春里","313","735","383","352",77,74,93,74,92,74,42,54,13,25,317,301
"10309","宜蘭縣蘇澳鎮","永榮里","1387","4376","2235","2141",534,469,495,508,426,423,190,227,55,62,1700,1689
"10309","宜蘭縣蘇澳鎮","永樂里","195","565","274","291",50,62,75,59,59,62,27,33,15,17,226,233
"10309","宜蘭縣蘇澳鎮","港邊里","548","1616","865","751",195,145,184,169,220,176,93,94,64,61,756,645
"10309","宜蘭縣蘇澳鎮","聖愛里","1144","3324","1656","1668",384,363,381,401,377,375,174,185,35,44,1351,1368
"10309","宜蘭縣蘇澳鎮","聖湖里","875","2799","1419","1380",343,280,339,294,286,335,148,177,49,35,1165,1121
"10309","宜蘭縣蘇澳鎮","蘇北里","463","1263","636","627",116,129,156,139,144,139,80,97,20,34,516,538
"10309","宜蘭縣蘇澳鎮","蘇南里","216","565","273","292",54,55,59,49,77,60,32,59,13,21,235,244
"10309","宜蘭縣蘇澳鎮","蘇東里","252","666","330","336",87,82,71,74,88,80,29,36,8,15,283,287
"10309","宜蘭縣蘇澳鎮","蘇西里","1038","2932","1474","1458",334,320,341,324,346,327,156,181,31,64,1208,1216
"10309","宜蘭縣蘇澳鎮","長安里","252","647","343","304",73,59,73,50,100,75,26,48,13,25,285,257
"10309","宜蘭縣蘇澳鎮","隘丁里","1053","3279","1664","1615",392,369,371,404,311,288,155,141,46,58,1275,1260
"10309","宜蘭縣蘇澳鎮","頂寮里","331","1127","574","553",146,146,139,117,106,109,45,59,16,16,452,447
"10309","宜蘭縣蘇澳鎮","龍德里","1272","3871","1996","1875",469,454,470,421,441,395,179,213,63,61,1622,1544
"10309","宜蘭縣頭城鎮","下埔里","395","1138","600","538",138,123,138,105,134,104,72,67,26,35,508,434
"10309","宜蘭縣頭城鎮","中崙里","396","1276","665","611",151,147,167,125,127,133,70,67,26,31,541,503
"10309","宜蘭縣頭城鎮","二城里","464","1301","687","614",172,136,150,134,159,137,69,67,24,29,574,503
"10309","宜蘭縣頭城鎮","合興里","161","417","222","195",36,35,53,53,57,39,22,24,13,21,181,172
"10309","宜蘭縣頭城鎮","城北里","217","590","307","283",57,55,70,58,67,61,43,38,8,20,245,232
"10309","宜蘭縣頭城鎮","城南里","272","755","390","365",86,65,88,79,74,82,54,54,14,15,316,295
"10309","宜蘭縣頭城鎮","城東里","330","908","455","453",73,88,111,88,110,93,57,74,22,32,373,375
"10309","宜蘭縣頭城鎮","城西里","225","689","359","330",70,76,78,55,84,72,51,55,19,21,302,279
"10309","宜蘭縣頭城鎮","外澳里","367","1065","561","504",121,127,158,103,122,106,55,74,26,32,482,442
"10309","宜蘭縣頭城鎮","大坑里","475","1571","803","768",177,168,184,194,183,154,71,68,23,40,638,624
"10309","宜蘭縣頭城鎮","大溪里","364","1069","562","507",129,111,131,108,127,100,60,68,19,30,466,417
"10309","宜蘭縣頭城鎮","大里里","272","786","395","391",70,79,101,80,90,95,48,44,24,31,333,329
"10309","宜蘭縣頭城鎮","拔雅里","797","2267","1133","1134",240,241,267,271,208,208,82,114,31,42,828,876
"10309","宜蘭縣頭城鎮","新建里","833","2462","1247","1215",258,259,281,278,256,233,115,149,35,46,945,965
"10309","宜蘭縣頭城鎮","更新里","527","1564","796","768",166,162,215,190,168,147,90,110,30,43,669,652
"10309","宜蘭縣頭城鎮","武營里","655","1910","948","962",205,186,259,234,188,204,85,100,26,42,763,766
"10309","宜蘭縣頭城鎮","港口里","277","781","402","379",75,86,99,88,88,80,53,42,10,20,325,316
"10309","宜蘭縣頭城鎮","石城里","129","351","189","162",35,24,58,33,49,33,21,35,10,12,173,137
"10309","宜蘭縣頭城鎮","福成里","368","1173","649","524",130,105,157,100,145,101,63,73,31,38,526,417
"10309","宜蘭縣頭城鎮","竹安里","801","2502","1280","1222",316,293,349,277,250,244,116,138,37,52,1068,1004
"10309","宜蘭縣頭城鎮","金盈里","285","903","499","404",118,92,127,83,108,85,50,49,13,21,416,330
"10309","宜蘭縣頭城鎮","金面里","694","2031","1094","937",242,198,288,207,216,192,104,138,42,22,892,757
"10309","宜蘭縣頭城鎮","頂埔里","552","1588","825","763",206,197,180,127,195,178,89,106,28,36,698,644
"10309","宜蘭縣頭城鎮","龜山里","228","828","391","437",93,121,95,105,89,91,34,31,9,11,320,359
"10309","宜蘭縣礁溪鄉","三民村","987","2976","1587","1389",362,329,338,283,354,299,182,149,57,74,1293,1134
"10309","宜蘭縣礁溪鄉","二結村","200","519","289","230",58,52,65,50,69,43,38,26,7,23,237,194
"10309","宜蘭縣礁溪鄉","二龍村","523","1436","763","673",154,169,189,138,181,133,77,80,27,44,628,564
"10309","宜蘭縣礁溪鄉","光武村","553","1523","822","701",192,164,193,158,183,121,89,88,21,39,678,570
"10309","宜蘭縣礁溪鄉","六結村","622","1697","882","815",189,164,196,178,205,142,97,121,51,61,738,666
"10309","宜蘭縣礁溪鄉","匏崙村","387","1134","615","519",143,113,158,97,130,120,63,63,26,25,520,418
"10309","宜蘭縣礁溪鄉","吳沙村","1039","2912","1534","1378",356,353,361,266,320,300,167,165,38,58,1242,1142
"10309","宜蘭縣礁溪鄉","大忠村","1299","2959","1458","1501",341,341,311,376,341,335,129,133,44,46,1166,1231
"10309","宜蘭縣礁溪鄉","大義村","269","780","392","388",87,94,79,80,77,79,63,38,15,28,321,319
"10309","宜蘭縣礁溪鄉","德陽村","1891","4505","2217","2288",500,522,529,476,476,530,218,261,83,94,1806,1883
"10309","宜蘭縣礁溪鄉","時潮村","619","1696","917","779",202,183,213,156,223,158,106,98,29,45,773,640
"10309","宜蘭縣礁溪鄉","林美村","472","1392","735","657",151,161,172,138,162,127,70,80,26,30,581,536
"10309","宜蘭縣礁溪鄉","玉光村","411","1155","622","533",148,126,137,115,148,110,74,60,19,31,526,442
"10309","宜蘭縣礁溪鄉","玉田村","956","2486","1328","1158",281,287,346,246,290,230,149,133,43,59,1109,955
"10309","宜蘭縣礁溪鄉","玉石村","871","2194","1163","1031",271,257,248,202,268,254,124,122,43,37,954,872
"10309","宜蘭縣礁溪鄉","白雲村","651","1908","1026","882",230,199,272,182,200,181,102,102,36,37,840,701
"10309","宜蘭縣礁溪鄉","白鵝村","353","976","537","439",130,113,140,79,117,102,55,46,16,24,458,364
"10309","宜蘭縣礁溪鄉","龍潭村","1208","3770","1922","1848",491,500,477,368,356,399,175,176,60,74,1559,1517
"10309","宜蘭縣壯圍鄉","功勞村","499","1469","766","703",178,171,174,163,163,121,84,77,25,29,624,561
"10309","宜蘭縣壯圍鄉","古亭村","610","1750","931","819",223,212,186,168,243,179,89,79,33,48,774,686
"10309","宜蘭縣壯圍鄉","古結村","445","1216","635","581",147,132,177,139,134,118,63,65,14,23,535,477
"10309","宜蘭縣壯圍鄉","吉祥村","967","2759","1394","1365",359,375,307,288,316,296,118,130,23,40,1123,1129
"10309","宜蘭縣壯圍鄉","大福村","675","2045","1077","968",259,216,267,239,216,212,100,107,35,48,877,822
"10309","宜蘭縣壯圍鄉","復興村","647","1939","1015","924",229,230,232,186,244,193,98,98,29,42,832,749
"10309","宜蘭縣壯圍鄉","忠孝村","899","2653","1411","1242",339,301,333,255,301,267,135,130,40,61,1148,1014
"10309","宜蘭縣壯圍鄉","新南村","413","1081","593","488",119,101,137,96,133,96,71,76,27,29,487,398
"10309","宜蘭縣壯圍鄉","新社村","440","1219","660","559",134,123,163,112,157,106,89,95,26,30,569,466
"10309","宜蘭縣壯圍鄉","東港村","376","1155","621","534",135,129,161,109,142,118,61,64,19,27,518,447
