統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10309,澎湖縣馬公市,中央里,253,623,316,307,1,1,3,3,0,1,1,1,0,1,2,1,3,3,2,3,4,1,1,3,2,5,2,3,1,2,3,1,6,4,2,4,1,0,3,1,4,3,3,2,5,4,3,3,0,3,5,3,10,3,4,4,4,4,7,6,0,2,4,3,6,5,2,3,2,5,5,1,4,4,8,6,3,4,3,6,7,6,4,4,5,5,7,5,6,3,3,2,5,4,4,3,4,6,5,3,4,7,9,5,5,2,6,2,5,8,7,6,4,7,6,5,6,5,1,4,13,4,3,2,1,4,4,5,7,2,4,6,3,4,2,7,4,1,4,8,4,3,4,2,1,2,3,2,1,3,2,4,5,3,3,4,1,3,5,1,4,4,1,6,1,1,1,1,2,2,2,0,2,3,0,3,1,3,2,3,0,0,0,1,0,1,0,1,1,3,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,
10309,澎湖縣馬公市,中興里,396,903,458,445,1,3,0,2,2,1,2,2,2,5,4,3,6,1,3,2,4,3,0,5,3,6,5,3,4,2,2,3,5,6,2,2,3,4,8,5,5,12,5,3,9,11,10,7,10,7,8,10,8,10,5,4,8,6,7,5,9,3,12,5,8,10,11,6,14,8,3,8,5,5,11,7,10,8,7,5,7,7,7,4,5,5,6,15,13,8,5,7,11,2,9,4,9,7,8,8,4,7,8,4,7,5,5,5,5,8,7,8,9,12,9,7,6,1,3,5,8,3,8,10,6,6,6,7,6,1,3,4,2,4,1,2,0,5,0,3,2,5,2,4,1,1,1,6,3,1,2,4,1,1,0,4,5,4,1,4,2,6,3,7,5,7,4,4,1,3,4,0,1,1,5,1,2,3,3,2,0,2,3,0,1,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10309,澎湖縣馬公市,五德里,144,288,160,128,0,2,0,0,2,0,0,1,0,2,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,3,1,1,2,1,1,0,4,3,1,5,0,6,4,6,2,5,5,4,1,3,2,5,3,3,4,5,2,5,1,2,1,3,1,0,5,4,3,0,4,2,3,2,2,1,1,1,1,2,1,3,2,0,0,2,2,2,1,1,2,3,3,1,3,4,1,2,2,3,1,2,1,3,1,2,4,1,3,5,3,2,1,1,0,1,1,4,2,4,1,3,2,2,2,0,1,2,3,0,0,1,0,1,0,7,0,0,0,0,1,3,2,0,1,1,1,0,2,0,2,0,0,1,0,0,2,1,1,3,2,2,1,1,0,0,1,1,1,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10309,澎湖縣馬公市,井垵里,138,450,225,225,3,5,1,1,2,7,4,3,3,0,0,2,3,2,0,4,0,4,1,3,3,5,0,0,3,0,1,2,5,1,6,1,3,2,2,3,3,3,1,3,6,3,5,4,1,1,2,3,1,2,2,3,5,1,1,1,4,2,2,3,4,2,7,4,1,4,7,1,4,6,4,2,2,4,1,7,7,2,3,4,3,5,6,4,6,5,2,3,6,2,4,7,5,4,3,4,2,6,1,5,0,1,9,3,5,3,1,1,4,1,4,3,2,3,4,1,4,4,2,1,1,2,3,2,2,5,1,0,5,1,1,0,1,2,0,0,1,2,0,1,4,1,1,2,0,1,4,1,1,2,0,2,0,2,0,0,0,1,2,0,0,1,0,2,0,2,4,2,1,1,1,2,3,2,1,1,1,2,0,2,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
10309,澎湖縣馬公市,光復里,915,2344,1122,1222,7,13,7,9,12,9,14,10,5,6,6,8,5,12,5,11,7,5,11,9,3,8,12,8,20,12,11,9,14,11,8,13,14,12,16,14,11,15,12,14,18,11,19,14,20,17,22,20,20,19,17,15,18,16,18,23,11,15,20,14,18,16,18,17,19,18,19,17,15,26,14,27,14,22,21,20,21,23,11,15,16,10,13,15,20,12,11,15,4,16,12,12,15,16,17,21,15,21,17,17,17,9,19,29,17,20,21,16,23,23,16,16,20,33,19,20,18,13,16,16,21,15,16,16,13,20,9,17,20,12,10,15,12,13,5,9,2,14,8,9,8,9,4,15,8,12,9,12,6,10,8,9,6,14,8,8,9,9,7,11,5,8,4,2,2,5,10,8,2,1,7,7,6,7,6,1,3,2,2,2,3,0,2,1,1,3,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
10309,澎湖縣馬公市,光明里,567,1384,692,692,5,8,6,6,7,3,3,5,4,2,4,4,5,5,5,5,9,1,6,3,4,3,5,6,4,2,5,5,8,4,8,8,2,6,5,8,4,5,4,11,8,12,18,7,17,8,14,11,13,9,12,14,5,13,11,15,15,6,15,7,14,16,18,9,13,13,13,10,5,9,11,9,13,13,13,13,9,6,10,7,9,5,9,9,10,15,8,8,7,8,11,9,8,10,9,9,9,7,7,11,10,12,16,13,5,10,8,8,13,14,12,17,10,10,10,8,11,12,11,9,8,7,10,10,11,7,5,8,7,6,5,8,6,11,6,8,3,7,2,7,5,6,1,6,6,4,4,8,4,3,2,5,6,7,0,7,5,7,4,5,6,10,4,5,7,2,4,4,8,4,6,2,4,4,4,2,1,5,0,0,0,0,2,2,0,0,0,1,1,3,0,0,1,0,0,0,1,0,0,0,0,0,
10309,澎湖縣馬公市,光榮里,1865,4728,2291,2437,9,16,11,16,19,17,22,17,13,13,12,17,12,16,23,14,24,15,22,16,19,10,17,17,25,18,24,19,16,17,29,29,26,23,33,33,28,36,33,37,35,28,43,45,35,35,42,40,30,28,33,41,42,39,28,23,37,43,45,33,35,32,37,38,30,36,51,38,36,38,38,39,35,34,44,34,27,50,30,35,35,44,41,35,39,32,28,35,42,35,35,45,45,35,44,34,32,33,33,36,31,36,30,51,33,38,48,57,37,39,33,37,31,41,38,37,30,41,32,28,33,32,25,32,19,29,17,44,18,24,23,31,18,19,12,31,11,18,8,18,14,27,5,19,6,20,18,18,8,19,8,18,8,15,6,11,13,13,11,15,6,14,7,13,13,10,10,4,17,8,16,5,17,9,15,4,11,8,6,5,7,4,8,3,2,0,2,1,3,0,3,0,0,0,0,1,0,0,0,0,0,1,
10309,澎湖縣馬公市,光華里,309,825,465,360,9,6,6,5,12,8,8,2,9,4,8,3,5,3,5,7,6,6,2,4,3,3,4,4,4,3,4,3,5,4,9,13,12,16,13,12,8,7,5,7,5,5,10,4,9,5,9,3,9,10,10,1,10,2,11,10,11,4,9,7,13,9,8,11,18,12,8,8,14,8,6,11,19,12,11,8,10,4,9,8,3,5,5,2,9,5,4,3,10,4,3,4,5,3,1,5,6,3,4,1,2,1,3,3,2,2,5,3,2,4,3,2,3,1,3,3,1,3,1,3,0,2,3,4,2,5,3,2,2,1,4,5,3,0,1,2,0,1,2,2,1,1,1,0,2,0,3,1,4,0,2,1,2,0,1,0,1,1,1,0,0,1,2,0,0,1,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,
10309,澎湖縣馬公市,前寮里,384,1002,532,470,6,10,8,5,4,4,4,3,5,5,1,6,1,4,1,3,2,1,1,3,2,2,3,3,2,2,4,3,9,3,4,4,3,6,7,8,9,8,6,4,8,7,7,4,9,5,17,9,9,17,10,6,11,14,11,7,10,9,8,8,12,10,10,11,14,6,21,7,17,12,7,8,7,6,9,12,11,5,8,7,11,10,5,7,7,3,4,5,8,3,2,4,8,8,9,7,5,8,7,6,11,8,11,8,7,8,8,12,9,6,13,6,6,4,5,4,14,6,8,5,2,8,3,6,7,4,3,6,4,4,6,4,5,2,2,1,0,3,3,1,3,4,0,2,1,5,3,2,3,0,2,1,2,3,4,1,1,3,1,3,5,2,3,3,2,2,0,1,2,4,0,2,0,2,2,2,2,2,0,0,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10309,澎湖縣馬公市,啟明里,401,1075,552,523,5,5,6,2,4,4,3,7,2,1,3,6,2,2,4,5,5,7,5,5,9,3,4,4,3,3,3,1,4,6,4,3,7,7,8,7,4,2,8,9,6,7,3,6,9,6,8,2,8,5,9,6,6,4,7,4,4,7,9,5,7,11,5,8,9,9,16,10,9,9,16,13,5,9,12,9,6,8,12,10,4,7,13,8,8,8,11,11,6,7,10,9,3,5,11,8,4,6,6,6,5,9,6,8,6,8,14,3,8,6,8,4,13,12,9,10,8,8,6,8,9,5,9,6,11,10,8,9,12,6,8,6,4,7,6,7,2,3,1,1,6,2,6,7,4,7,5,9,1,7,5,6,3,2,7,3,3,5,5,6,3,5,1,1,2,1,3,2,4,1,0,1,0,2,2,2,1,0,1,2,0,1,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
