統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10309,嘉義縣太保市,前潭里,552,1780,974,806,7,4,7,6,7,7,6,8,5,7,9,4,7,4,5,5,7,4,5,8,2,6,6,7,11,10,10,8,12,3,9,7,14,6,15,9,13,15,13,15,20,10,15,9,7,14,18,14,15,15,13,12,22,10,11,12,13,13,19,12,14,12,14,16,15,18,18,14,17,13,15,9,13,22,8,10,12,10,7,10,14,5,12,7,11,10,12,17,8,10,16,8,16,12,13,10,15,18,14,10,14,14,14,12,22,15,24,18,14,11,15,6,17,9,16,5,16,15,16,10,12,6,13,10,10,10,18,10,12,9,10,3,15,9,8,4,5,4,7,5,9,4,10,2,7,8,7,10,8,4,7,15,4,8,4,7,9,7,8,9,7,5,4,6,7,8,5,5,3,4,2,5,2,1,2,1,0,2,0,0,0,0,1,1,0,2,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,
10309,嘉義縣太保市,北新里,1101,3538,1810,1728,12,8,6,18,18,10,11,9,13,13,21,9,28,14,24,16,17,16,26,26,21,26,11,24,17,14,20,25,34,23,25,21,38,25,21,32,25,31,26,28,28,34,24,17,24,37,36,21,33,30,32,24,17,30,27,23,25,24,23,28,36,21,24,20,25,32,33,27,22,27,41,34,31,31,34,27,23,36,28,24,22,19,21,34,32,28,20,23,28,31,19,24,32,29,32,27,33,29,33,19,34,43,31,28,38,28,33,28,25,21,23,16,31,24,30,17,21,18,14,22,23,21,24,20,27,11,17,11,11,6,10,14,12,13,9,9,13,9,9,11,7,15,11,5,11,8,12,13,10,7,6,11,10,8,6,7,5,14,10,8,5,8,7,12,3,5,1,10,3,7,5,4,2,3,1,4,3,4,1,1,2,1,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,
10309,嘉義縣太保市,南新里,704,2229,1148,1081,4,4,10,9,7,11,10,9,5,9,7,7,12,14,12,18,10,8,11,13,8,12,8,10,6,12,15,8,19,17,13,14,16,16,22,22,25,23,20,18,21,19,11,11,26,15,17,5,14,21,12,16,14,16,14,14,16,17,19,22,18,13,11,15,18,15,18,13,14,14,17,12,17,17,11,14,16,19,19,11,13,19,13,22,21,19,11,19,21,11,22,23,16,14,22,22,21,16,18,16,27,16,16,11,18,10,24,13,15,17,16,12,28,18,10,10,15,11,13,11,19,8,18,14,16,14,12,16,8,7,13,16,12,6,10,10,6,7,7,6,9,6,13,4,8,8,6,6,13,12,7,10,7,5,2,7,5,7,2,7,5,14,5,5,7,4,2,4,1,3,2,5,4,1,2,2,1,0,0,0,1,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
10309,嘉義縣太保市,埤鄉里,282,868,481,387,3,4,5,1,3,2,7,2,0,4,3,4,2,5,3,3,2,6,3,3,5,3,3,2,4,2,8,4,7,3,3,3,4,6,10,6,7,5,4,5,13,7,3,8,6,5,8,7,8,8,9,2,9,5,2,2,7,7,4,1,5,6,6,6,6,2,10,7,9,4,5,6,7,12,4,3,10,5,5,4,5,10,4,5,5,6,8,1,5,3,7,4,16,6,5,5,6,3,4,5,10,2,11,8,9,3,13,7,7,4,8,5,5,13,4,3,8,11,4,3,8,6,4,6,10,5,10,6,5,2,2,3,5,7,1,2,1,1,5,2,7,6,4,5,4,4,5,1,5,3,0,2,4,2,1,1,7,2,6,4,1,3,3,3,4,2,4,8,0,2,4,3,1,2,0,2,1,2,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
10309,嘉義縣太保市,太保里,897,2688,1388,1300,9,4,11,8,11,10,10,7,5,6,14,19,13,13,16,17,11,14,20,8,12,13,5,14,14,11,20,9,16,11,8,19,25,24,18,17,27,20,26,15,21,9,25,23,26,21,24,20,28,28,21,18,21,14,19,11,23,19,15,15,24,23,26,21,9,22,25,25,27,23,19,19,22,29,20,23,25,17,19,24,18,24,16,18,22,20,20,25,27,15,16,32,20,19,20,30,27,18,17,15,31,26,25,20,22,18,33,11,33,21,18,19,22,20,12,15,22,21,11,14,17,14,15,9,14,16,14,14,12,18,12,9,13,16,10,5,8,7,6,10,10,9,10,8,12,5,4,4,11,9,7,5,5,6,7,8,3,8,5,7,5,9,6,7,1,8,4,5,4,4,4,3,2,0,2,0,0,2,1,3,0,2,0,0,0,0,1,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,
10309,嘉義縣太保市,安仁里,1210,3351,1623,1728,15,10,25,17,19,15,18,17,18,18,23,21,24,26,33,36,40,34,38,51,27,38,44,37,40,34,41,33,41,46,30,32,30,34,29,25,24,22,20,20,19,19,22,16,12,20,21,16,16,22,21,12,17,18,15,24,14,19,17,11,13,22,19,13,12,31,24,30,25,36,25,43,30,34,16,31,36,40,21,35,39,42,39,42,26,40,37,37,33,37,23,32,28,30,22,26,29,22,32,23,25,22,26,15,15,19,24,18,11,16,13,17,14,10,10,9,16,17,12,17,16,9,10,8,11,16,18,19,16,5,9,7,5,10,6,11,6,3,4,6,10,8,7,0,7,9,6,8,1,11,6,5,6,2,1,5,3,4,5,4,2,3,5,4,3,1,1,4,3,5,2,2,0,2,3,1,1,1,0,1,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
10309,嘉義縣太保市,崙頂里,326,984,513,471,1,2,4,2,4,3,3,2,2,6,4,5,3,3,3,3,4,6,2,3,2,2,3,1,2,3,2,1,5,8,4,5,5,3,9,15,6,9,12,9,9,2,6,11,2,7,7,7,4,6,9,3,6,4,8,3,1,5,5,5,11,5,5,7,2,5,10,12,7,4,7,4,4,6,5,9,8,9,9,8,12,6,6,6,9,6,11,10,6,6,13,7,12,6,5,10,7,3,8,9,11,11,4,5,10,4,9,4,8,7,7,6,10,4,6,4,11,6,10,5,5,7,8,6,7,4,6,8,9,7,3,5,7,6,6,1,4,5,2,5,6,3,3,4,3,6,5,7,6,6,6,2,4,5,5,5,4,1,3,5,1,5,5,6,6,3,6,3,4,4,1,2,2,0,1,3,2,4,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,
10309,嘉義縣太保市,後庄里,158,600,312,288,1,3,7,5,1,1,1,3,1,5,2,1,3,2,1,5,1,1,0,3,2,1,3,3,2,1,2,7,3,1,7,4,3,6,4,5,5,1,6,4,5,3,7,4,2,3,4,6,3,4,3,6,6,2,8,0,5,5,7,3,6,6,3,4,6,5,5,7,8,4,7,7,8,3,3,4,3,4,4,2,4,3,2,6,3,6,4,3,7,1,5,4,7,3,6,1,6,4,6,3,2,1,4,7,6,4,5,4,2,4,3,5,3,8,5,6,4,3,7,4,6,3,7,3,5,5,7,5,3,1,3,3,5,1,0,5,0,2,1,1,1,2,0,1,1,2,0,0,2,1,3,3,3,1,2,4,1,4,2,2,2,3,2,0,0,1,3,2,1,2,2,2,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
10309,嘉義縣太保市,後潭里,591,1955,1028,927,9,7,6,9,10,6,6,7,8,7,9,6,7,9,6,8,1,10,7,11,8,13,15,11,11,8,7,9,17,11,8,9,12,12,16,15,18,16,17,10,14,8,17,12,8,9,14,7,14,7,8,11,13,12,14,9,13,13,13,21,17,9,20,13,17,14,21,19,20,18,14,21,23,14,24,20,16,11,18,11,15,14,11,11,12,9,7,11,17,14,18,10,18,6,19,9,16,10,18,11,9,23,17,14,9,16,16,11,21,13,28,13,11,19,13,15,17,8,14,6,18,9,11,9,16,9,18,9,9,11,10,12,9,10,4,5,6,1,7,4,2,11,10,14,5,5,5,9,5,5,6,13,7,6,7,7,11,8,4,7,5,15,6,3,2,5,5,8,4,9,6,9,3,6,1,4,1,4,1,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
10309,嘉義縣太保市,新埤里,481,1511,807,704,2,4,3,7,5,3,4,4,3,5,4,1,6,4,5,2,8,7,7,3,7,10,9,11,8,6,9,6,7,9,11,12,12,8,10,13,11,7,7,8,13,14,8,10,15,10,6,12,15,14,11,7,12,9,17,6,10,11,8,12,9,8,14,7,11,15,13,7,15,4,5,6,11,11,1,10,13,11,8,13,12,8,9,8,11,15,9,7,11,9,10,7,20,15,13,13,8,12,14,13,17,11,18,11,18,13,24,8,12,15,17,6,22,10,10,4,11,13,17,7,15,13,8,4,9,11,11,7,8,6,14,7,11,4,4,3,5,4,4,4,5,3,6,8,5,10,8,9,4,4,7,5,5,8,2,5,4,4,6,4,4,6,4,5,3,7,2,6,1,4,3,4,2,2,2,6,3,0,0,3,1,1,1,1,2,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,
