"統計年月","區域別","村里","戶數","人口數","人口數-男","人口數-女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","澎湖縣馬公市","中央里","253","623","316","307",61,53,77,69,75,66,44,53,15,23,272,264
"10309","澎湖縣馬公市","中興里","396","903","458","445",127,105,120,98,90,86,24,57,31,26,392,372
"10309","澎湖縣馬公市","五德里","144","288","160","128",59,35,26,28,35,26,15,12,12,11,147,112
"10309","澎湖縣馬公市","井垵里","138","450","225","225",52,40,55,64,47,31,15,17,12,22,181,174
"10309","澎湖縣馬公市","光復里","915","2344","1122","1222",272,258,221,262,265,275,110,169,54,50,922,1014
"10309","澎湖縣馬公市","光明里","567","1384","692","692",191,159,143,139,147,151,59,99,49,44,589,592
"10309","澎湖縣馬公市","光榮里","1865","4728","2291","2437",559,537,548,556,455,566,169,292,143,90,1874,2041
"10309","澎湖縣馬公市","光華里","309","825","465","360",154,99,105,78,35,39,28,14,6,10,328,240
"10309","澎湖縣馬公市","前寮里","384","1002","532","470",174,132,108,99,111,95,36,35,21,22,450,383
"10309","澎湖縣馬公市","啟明里","401","1075","552","523",115,99,127,124,132,112,66,78,19,21,459,434
"10309","澎湖縣馬公市","安宅里","231","650","341","309",77,70,81,64,76,70,37,35,19,20,290,259
"10309","澎湖縣馬公市","山水里","644","1946","1018","928",215,226,261,226,211,189,98,89,40,49,825,779
"10309","澎湖縣馬公市","復興里","260","471","278","193",107,56,61,39,57,37,20,29,11,14,256,175
"10309","澎湖縣馬公市","朝陽里","2270","6443","3177","3266",844,773,645,722,676,752,246,293,79,100,2490,2640
"10309","澎湖縣馬公市","東文里","1257","3694","1826","1868",458,457,392,495,336,362,103,106,35,33,1324,1453
"10309","澎湖縣馬公市","東衛里","783","2190","1143","1047",259,239,298,253,217,226,92,99,36,35,902,852
"10309","澎湖縣馬公市","案山里","832","1902","1062","840",337,217,237,176,222,187,94,88,43,46,933,714
"10309","澎湖縣馬公市","桶盤里","113","347","183","164",32,44,53,39,31,18,12,11,1,2,129,114
