"統計年月","區域別","村里","戶數","人口數","人口數-男","人口數-女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","花蓮縣鳳林鎮","鳳義里","292","737","374","363",73,60,73,64,105,84,38,69,29,36,318,313
"10309","花蓮縣玉里鎮","三民里","416","1073","599","474",97,96,154,79,127,88,101,99,30,28,509,390
"10309","花蓮縣玉里鎮","中城里","2215","6365","3209","3156",730,621,696,700,657,699,270,354,124,98,2477,2472
"10309","花蓮縣玉里鎮","啟模里","804","2053","1039","1014",198,218,260,210,197,212,119,132,55,37,829,809
"10309","花蓮縣玉里鎮","國武里","509","1518","752","766",173,164,140,138,169,189,88,105,39,39,609,635
"10309","花蓮縣玉里鎮","大禹里","471","1285","695","590",129,117,161,121,161,116,86,116,36,30,573,500
"10309","花蓮縣玉里鎮","德武里","296","944","520","424",88,78,161,74,108,86,63,86,8,26,428,350
"10309","花蓮縣玉里鎮","春日里","380","1028","564","464",90,83,159,87,143,93,73,85,18,34,483,382
"10309","花蓮縣玉里鎮","東豐里","229","651","381","270",68,51,95,42,83,42,50,53,15,19,311,207
"10309","花蓮縣玉里鎮","松浦里","613","1864","1065","799",232,186,293,123,239,163,116,131,29,33,909,636
"10309","花蓮縣玉里鎮","樂合里","480","1192","684","508",89,80,188,83,214,121,90,95,18,40,599,419
"10309","花蓮縣玉里鎮","永昌里","538","1550","829","721",150,126,177,161,212,186,105,125,47,25,691,623
"10309","花蓮縣玉里鎮","泰昌里","487","1819","1036","783",137,102,167,148,325,204,166,155,123,57,918,666
"10309","花蓮縣玉里鎮","源城里","505","1519","832","687",162,134,209,146,179,134,107,108,33,37,690,559
"10309","花蓮縣玉里鎮","觀音里","686","1819","982","837",201,173,233,141,255,193,117,129,45,55,851,691
"10309","花蓮縣玉里鎮","長良里","302","800","455","345",84,67,117,63,91,78,47,51,45,16,384,275
"10309","花蓮縣新城鄉","佳林村","393","1100","560","540",137,118,152,134,92,129,43,34,25,11,449,426
"10309","花蓮縣新城鄉","北埔村","1659","4545","2333","2212",522,490,614,529,461,487,171,190,48,49,1816,1745
"10309","花蓮縣新城鄉","嘉新村","642","1569","836","733",172,129,163,171,162,192,96,87,121,33,714,612
"10309","花蓮縣新城鄉","嘉里村","1730","4478","2329","2149",619,549,664,493,351,436,120,165,84,53,1838,1696
"10309","花蓮縣新城鄉","大漢村","1150","3098","1618","1480",363,343,447,344,286,353,103,137,64,20,1263,1197
"10309","花蓮縣新城鄉","康樂村","1013","2796","1399","1397",339,293,346,332,281,383,125,137,44,32,1135,1177
"10309","花蓮縣新城鄉","新城村","578","1618","811","807",177,157,178,165,188,186,76,113,33,57,652,678
"10309","花蓮縣新城鄉","順安村","361","1065","587","478",119,91,129,102,162,99,57,69,23,27,490,388
"10309","花蓮縣吉安鄉","仁和村","1876","4992","2625","2367",686,584,636,546,565,608,197,197,75,33,2159,1968
"10309","花蓮縣吉安鄉","仁安村","943","2485","1303","1182",339,275,333,274,274,296,105,107,25,24,1076,976
"10309","花蓮縣吉安鄉","仁里村","2655","6917","3415","3502",818,812,822,759,781,885,315,371,86,98,2822,2925
"10309","花蓮縣吉安鄉","光華村","836","2077","1075","1002",211,197,340,302,217,212,59,97,58,18,885,826
"10309","花蓮縣吉安鄉","勝安村","2130","5572","2756","2816",628,652,685,679,631,703,209,210,55,61,2208,2305
"10309","花蓮縣吉安鄉","北昌村","3262","8715","4156","4559",1007,1030,827,999,929,1086,331,416,102,124,3196,3655
"10309","花蓮縣吉安鄉","南昌村","1725","4874","2377","2497",578,541,540,625,512,555,139,179,37,53,1806,1953
"10309","花蓮縣吉安鄉","南華村","629","1776","964","812",204,171,216,160,244,181,115,121,46,43,825,676
"10309","花蓮縣吉安鄉","吉安村","2318","5818","3031","2787",683,662,771,694,710,699,240,236,81,57,2485,2348
"10309","花蓮縣吉安鄉","太昌村","1570","4210","2215","1995",513,448,539,466,512,458,161,185,77,63,1802,1620
"10309","花蓮縣吉安鄉","宜昌村","1695","4763","2372","2391",578,536,527,568,488,563,205,203,58,65,1856,1935
"10309","花蓮縣吉安鄉","干城村","672","1466","838","628",185,133,257,150,201,146,60,65,27,24,730,518
"10309","花蓮縣吉安鄉","慶豐村","2875","7623","3936","3687",985,836,1030,929,855,915,298,318,110,96,3278,3094
"10309","花蓮縣吉安鄉","東昌村","2324","6067","3114","2953",795,700,783,650,697,767,246,286,80,79,2601,2482
"10309","花蓮縣吉安鄉","永安村","1832","4716","2363","2353",562,513,591,585,538,583,195,236,71,66,1957,1983
"10309","花蓮縣吉安鄉","永興村","1216","3390","1731","1659",388,372,425,372,365,392,147,149,48,57,1373,1342
"10309","花蓮縣吉安鄉","福興村","1152","3244","1701","1543",445,321,417,383,345,326,144,170,40,40,1391,1240
"10309","花蓮縣吉安鄉","稻香村","1265","3685","1879","1806",442,416,446,416,410,404,164,161,50,54,1512,1451
"10309","花蓮縣壽豐鄉","光榮村","319","910","502","408",104,80,120,63,117,103,71,56,22,33,434,335
"10309","花蓮縣壽豐鄉","共和村","263","694","369","325",72,71,71,69,111,74,38,34,17,19,309,267
"10309","花蓮縣壽豐鄉","壽豐村","720","1914","1009","905",222,198,213,171,270,192,96,133,32,39,833,733
"10309","花蓮縣壽豐鄉","平和村","625","1642","871","771",190,160,181,161,231,169,88,104,33,43,723,637
"10309","花蓮縣壽豐鄉","志學村","1189","2874","1502","1372",326,278,376,342,353,318,112,138,65,45,1232,1121
"10309","花蓮縣壽豐鄉","月眉村","364","977","543","434",105,86,124,80,147,97,61,58,25,24,462,345
"10309","花蓮縣壽豐鄉","樹湖村","160","405","211","194",39,39,39,30,73,41,20,33,12,20,183,163
"10309","花蓮縣壽豐鄉","水璉村","383","898","512","386",78,64,136,66,131,92,77,72,28,29,450,323
"10309","花蓮縣壽豐鄉","池南村","387","921","494","427",85,74,115,75,140,104,61,68,36,45,437,366
"10309","花蓮縣壽豐鄉","溪口村","431","1221","660","561",109,97,136,100,181,150,104,98,39,24,569,469
"10309","花蓮縣壽豐鄉","米棧村","126","290","147","143",35,25,36,25,44,38,16,25,4,10,135,123
"10309","花蓮縣壽豐鄉","豐坪村","368","1054","566","488",116,100,125,97,139,116,76,62,20,14,476,389
"10309","花蓮縣壽豐鄉","豐山村","841","2268","1201","1067",250,207,261,241,307,229,126,158,51,60,995,895
"10309","花蓮縣壽豐鄉","豐裡村","561","1625","875","750",193,163,176,158,220,174,96,98,31,33,716,626
"10309","花蓮縣壽豐鄉","鹽寮村","259","552","300","252",45,39,92,72,74,70,33,32,21,8,265,221
"10309","花蓮縣光復鄉","北富村","368","1039","558","481",117,80,118,102,137,101,84,91,21,28,477,402
"10309","花蓮縣光復鄉","南富村","337","970","516","454",98,88,108,81,136,122,63,63,21,32,426,386
"10309","花蓮縣光復鄉","大全村","344","925","508","417",107,93,108,74,142,90,59,68,23,25,439,350
"10309","花蓮縣光復鄉","大同村","497","1314","690","624",174,130,146,107,166,153,78,98,18,26,582,514
"10309","花蓮縣光復鄉","大安村","399","1021","505","516",96,115,108,89,128,126,75,65,20,32,427,427
"10309","花蓮縣光復鄉","大富村","163","393","207","186",38,42,49,28,46,51,35,25,9,17,177,163
"10309","花蓮縣光復鄉","大平村","428","1126","602","524",108,104,148,85,155,138,75,76,26,39,512,442
"10309","花蓮縣光復鄉","大興村","218","576","322","254",57,48,68,53,90,56,30,26,15,11,260,194
"10309","花蓮縣光復鄉","大華村","602","1531","795","736",180,166,155,134,224,191,98,106,24,41,681,638
"10309","花蓮縣光復鄉","大豐村","200","546","314","232",49,37,91,41,70,46,45,60,18,22,273,206
"10309","花蓮縣光復鄉","大進村","217","550","291","259",70,55,52,41,81,63,36,59,11,11,250,229
"10309","花蓮縣光復鄉","大馬村","478","1186","615","571",112,111,130,102,182,134,61,100,19,42,504,489
"10309","花蓮縣光復鄉","東富村","402","1158","638","520",124,92,166,110,148,131,85,78,21,35,544,446
"10309","花蓮縣光復鄉","西富村","401","1105","584","521",113,105,129,76,152,137,87,92,23,34,504,444
"10309","花蓮縣豐濱鄉","新社村","273","688","380","308",78,58,111,63,99,65,35,62,14,21,337,269
"10309","花蓮縣豐濱鄉","港口村","317","836","468","368",67,55,149,67,127,103,47,74,22,26,412,325
"10309","花蓮縣豐濱鄉","磯崎村","156","419","221","198",43,42,63,37,67,64,16,20,11,13,200,176
"10309","花蓮縣豐濱鄉","豐濱村","731","2037","1107","930",199,193,351,173,264,211,114,178,41,41,969,796
"10309","花蓮縣豐濱鄉","靜浦村","276","771","451","320",80,61,138,57,118,69,49,73,13,23,398,283
"10309","花蓮縣瑞穗鄉","奇美村","118","419","239","180",53,32,64,38,50,31,22,25,5,9,194,135
"10309","花蓮縣瑞穗鄉","富民村","402","1049","567","482",122,98,155,92,125,96,57,74,22,25,481,385
"10309","花蓮縣瑞穗鄉","富源村","371","949","532","417",98,73,110,77,132,89,66,82,34,32,440,353
"10309","花蓮縣瑞穗鄉","富興村","301","726","414","312",69,45,84,58,120,81,60,56,26,36,359,276
"10309","花蓮縣瑞穗鄉","瑞北村","261","730","384","346",74,61,104,65,100,74,32,56,15,18,325,274
"10309","花蓮縣瑞穗鄉","瑞祥村","482","1144","596","548",115,101,127,106,179,130,76,89,22,34,519,460
"10309","花蓮縣瑞穗鄉","瑞穗村","903","2283","1197","1086",281,213,251,222,310,252,135,160,44,62,1021,909
"10309","花蓮縣瑞穗鄉","瑞美村","799","2140","1092","1048",242,203,222,203,241,260,141,162,32,40,878,868
"10309","花蓮縣瑞穗鄉","瑞良村","246","646","338","308",64,59,73,55,84,77,52,43,14,19,287,253
"10309","花蓮縣瑞穗鄉","舞鶴村","425","1086","590","496",117,95,143,88,146,123,68,81,26,26,500,413
"10309","花蓮縣瑞穗鄉","鶴岡村","346","1021","596","425",132,91,143,72,137,98,75,75,17,25,504,361
"10309","花蓮縣富里鄉","吳江村","222","563","314","249",56,39,89,42,74,45,38,49,13,22,270,197
"10309","花蓮縣富里鄉","學田村","267","770","429","341",61,62,108,65,110,68,57,56,20,19,356,270
"10309","花蓮縣富里鄉","富南村","220","613","333","280",68,66,80,37,91,75,32,43,16,19,287,240
"10309","花蓮縣富里鄉","富里村","597","1644","856","788",155,152,198,143,197,180,122,135,45,41,717,651
"10309","花蓮縣富里鄉","新興村","285","696","389","307",50,55,90,65,124,47,60,68,21,31,345,266
"10309","花蓮縣富里鄉","明里村","160","465","255","210",44,40,49,44,55,42,31,26,10,16,189,168
"10309","花蓮縣富里鄉","東里村","499","1234","687","547",121,82,197,112,157,116,106,112,25,45,606,467
"10309","花蓮縣富里鄉","永豐村","181","544","294","250",39,36,88,47,68,57,44,43,8,15,247,198
"10309","花蓮縣富里鄉","石牌村","369","1077","571","506",113,92,142,93,112,117,74,73,22,28,463,403
"10309","花蓮縣富里鄉","竹田村","488","1252","656","596",122,125,141,104,160,139,98,91,32,38,553,497
"10309","花蓮縣富里鄉","羅山村","179","505","277","228",37,42,72,43,68,44,40,40,14,14,231,183
"10309","花蓮縣富里鄉","萬寧村","245","807","470","337",68,72,107,58,142,71,74,54,21,13,412,268
"10309","花蓮縣富里鄉","豐南村","290","743","408","335",70,52,101,67,109,72,57,53,17,21,354,265
"10309","花蓮縣秀林鄉","佳民村","363","1184","601","583",153,139,149,124,108,119,34,36,5,12,449,430
"10309","花蓮縣秀林鄉","和平村","568","1725","915","810",222,180,214,179,170,137,40,59,11,13,657,568
"10309","花蓮縣秀林鄉","富世村","685","2177","1131","1046",253,247,275,220,234,187,51,77,18,35,831,766
"10309","花蓮縣秀林鄉","崇德村","540","1744","901","843",221,210,199,208,159,138,42,57,17,17,638,630
"10309","花蓮縣秀林鄉","文蘭村","378","1346","699","647",150,152,177,142,120,104,31,46,7,13,485,457
"10309","花蓮縣秀林鄉","景美村","724","2165","1123","1042",291,247,270,218,215,195,51,54,22,26,849,740
"10309","花蓮縣秀林鄉","水源村","420","1446","764","682",186,169,177,157,117,99,40,47,6,14,526,486
"10309","花蓮縣秀林鄉","秀林村","688","2198","1082","1116",275,270,230,232,225,215,44,68,12,26,786,811
"10309","花蓮縣秀林鄉","銅門村","418","1464","770","694",206,175,178,156,149,132,29,47,7,10,569,520
"10309","花蓮縣萬榮鄉","明利村","282","839","454","385",107,86,94,82,113,80,23,25,4,14,341,287
"10309","花蓮縣萬榮鄉","紅葉村","442","1318","714","604",210,150,172,130,148,121,36,48,3,16,569,465
"10309","花蓮縣萬榮鄉","萬榮村","309","941","494","447",123,99,122,96,87,92,22,29,4,7,358,323
"10309","花蓮縣萬榮鄉","西林村","451","1387","711","676",203,170,158,139,132,115,45,61,12,21,550,506
"10309","花蓮縣萬榮鄉","見晴村","221","673","351","322",78,92,102,63,51,50,19,24,2,6,252,235
"10309","花蓮縣萬榮鄉","馬遠村","379","1353","720","633",204,184,182,143,138,93,28,37,6,9,558,466
"10309","花蓮縣卓溪鄉","卓清村","329","1334","729","605",202,158,190,143,122,88,30,34,11,16,555,439
"10309","花蓮縣卓溪鄉","卓溪村","244","874","483","391",132,108,123,76,100,90,26,36,3,10,384,320
"10309","花蓮縣卓溪鄉","古風村","326","1177","645","532",155,141,190,108,116,104,36,47,15,10,512,410
"10309","花蓮縣卓溪鄉","太平村","228","896","470","426",112,125,109,102,102,63,22,37,8,5,353,332
"10309","花蓮縣卓溪鄉","崙山村","176","696","393","303",106,87,97,56,84,49,17,29,4,8,308,229
"10309","花蓮縣卓溪鄉","立山村","374","1261","698","563",180,133,182,122,149,108,40,61,4,20,555,444
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
