統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10309,雲林縣斗六市,三光里,242,635,349,286,1,1,3,0,2,1,4,2,2,1,2,3,3,0,1,2,3,2,2,2,1,3,2,1,1,2,2,2,1,4,4,4,2,1,5,6,5,4,7,2,4,2,4,3,4,6,3,2,6,3,2,2,6,3,2,8,3,2,1,2,3,1,4,1,6,3,3,2,2,1,3,3,4,2,3,3,3,4,4,9,5,5,7,10,10,4,9,6,8,3,6,2,5,6,11,3,8,4,4,6,7,3,10,4,5,5,2,4,4,4,4,5,6,2,10,2,7,5,8,5,4,3,7,4,2,2,6,0,3,5,3,6,2,2,4,2,2,3,6,3,2,1,2,9,5,5,5,2,7,6,3,3,2,2,3,0,4,6,1,4,4,2,2,1,0,1,3,4,0,3,2,4,0,2,4,3,1,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10309,雲林縣斗六市,三平里,2067,5794,2800,2994,20,24,31,21,33,25,30,22,27,22,42,28,55,36,41,33,36,50,43,36,32,35,54,53,47,49,48,46,50,58,35,45,46,46,57,38,37,45,43,46,40,39,43,27,38,31,33,28,40,39,38,36,46,40,33,38,42,40,42,38,40,54,43,45,44,52,62,57,49,42,52,56,47,58,56,51,55,58,38,62,39,41,29,53,51,50,43,64,50,50,39,46,38,44,27,46,54,51,27,32,37,53,43,41,42,51,20,41,24,41,34,42,25,33,41,32,35,46,38,35,21,37,32,27,28,34,22,35,22,24,21,27,23,23,14,14,16,13,12,12,10,16,9,12,7,21,6,15,15,21,17,12,10,12,12,17,4,3,9,6,8,8,5,9,9,10,6,6,4,7,3,2,6,4,7,8,5,4,7,2,1,3,1,2,0,4,2,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,
10309,雲林縣斗六市,中和里,370,1000,513,487,2,5,5,0,4,3,4,0,1,0,3,5,8,3,2,5,6,6,4,6,6,4,7,3,5,7,6,5,9,6,9,9,3,5,3,10,8,11,8,8,3,7,7,8,4,5,7,7,8,5,5,6,8,5,10,4,5,4,5,6,6,10,8,5,4,10,6,5,6,8,4,7,7,6,15,10,5,10,6,1,7,7,5,7,6,5,6,7,11,3,16,9,10,10,8,4,9,8,9,9,9,7,11,5,7,2,13,7,5,8,5,7,8,5,5,6,6,7,7,7,4,4,5,8,4,5,7,3,4,7,7,5,5,7,7,5,4,4,5,7,4,4,7,3,8,8,5,7,5,6,3,2,4,5,4,6,2,5,7,8,5,1,5,3,1,2,2,2,2,2,0,2,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
10309,雲林縣斗六市,久安里,905,2725,1414,1311,9,12,12,10,11,9,6,8,5,9,9,9,10,6,17,5,13,8,11,5,8,10,10,12,13,8,15,11,26,21,28,14,16,19,27,20,20,13,24,26,22,23,32,16,24,23,16,20,28,20,19,21,15,14,24,22,25,24,20,19,18,15,13,16,25,21,14,28,24,11,17,22,22,15,20,17,15,17,20,20,19,32,25,20,13,17,15,20,25,15,25,24,21,22,19,31,24,24,23,30,35,23,33,23,23,11,27,30,27,16,23,21,22,16,11,11,22,15,19,21,10,15,14,8,16,12,15,15,16,3,16,18,10,10,8,8,11,8,4,9,6,10,8,6,14,12,11,15,12,10,7,14,16,9,9,10,7,12,7,5,8,8,4,6,5,7,1,4,4,8,2,0,5,6,4,4,5,2,0,6,2,1,1,3,0,3,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,
10309,雲林縣斗六市,仁愛里,480,1314,660,654,6,4,6,4,3,1,3,3,6,5,6,0,12,10,9,4,12,8,6,7,5,3,5,2,12,13,7,6,9,10,7,7,4,4,10,9,11,8,7,6,8,10,10,6,3,7,12,11,5,6,9,11,9,9,9,8,6,5,12,13,9,12,11,12,12,9,13,13,15,17,7,13,10,8,8,9,8,11,10,6,9,4,6,6,11,5,10,7,4,5,8,10,8,5,2,10,9,14,9,9,14,5,8,11,7,3,7,7,4,12,6,13,11,10,13,17,10,6,11,16,13,7,14,6,7,7,11,13,5,8,9,10,9,5,6,7,8,6,10,9,10,7,6,11,4,4,3,8,7,5,5,7,5,8,2,5,2,4,4,3,6,4,5,4,3,5,0,4,1,2,1,2,1,2,1,2,1,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
10309,雲林縣斗六市,保庄里,2015,5999,3017,2982,32,24,36,28,31,25,46,33,33,23,28,26,17,20,24,18,29,30,20,20,38,35,38,34,31,29,35,43,41,36,30,42,33,36,41,41,49,48,47,34,34,49,54,40,48,48,52,35,65,40,57,37,37,44,55,43,48,45,67,49,50,53,59,47,65,54,65,66,59,64,51,68,44,49,46,59,66,56,38,50,35,48,47,46,38,44,42,46,37,48,49,36,51,57,44,34,41,54,51,44,31,49,53,64,34,47,49,69,48,31,40,54,43,35,38,41,48,40,36,23,31,28,25,35,25,25,39,28,22,18,18,32,21,11,10,15,17,12,15,20,15,22,14,8,17,17,15,10,17,15,8,11,13,8,14,11,4,13,11,18,8,16,12,13,8,10,10,9,6,9,8,7,4,7,6,4,4,4,1,6,0,2,0,2,2,2,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,
10309,雲林縣斗六市,信義里,332,807,397,410,4,1,6,3,3,2,10,5,4,1,1,2,1,1,2,1,4,3,1,0,1,4,5,6,4,6,4,2,3,3,4,6,6,3,0,5,7,7,4,4,6,6,3,3,3,7,5,5,7,10,1,2,5,7,2,6,5,3,9,1,7,5,6,8,6,5,9,8,10,7,9,5,4,9,6,5,5,5,9,2,5,1,4,6,6,5,6,8,5,3,4,7,3,3,9,10,5,6,7,3,5,5,3,5,4,3,8,5,6,6,3,10,5,9,6,6,10,3,5,5,11,5,6,7,8,7,6,5,6,6,3,8,6,5,5,3,5,3,4,4,3,2,2,4,2,8,3,5,3,4,0,5,4,5,3,4,5,3,4,5,1,3,2,4,0,2,0,3,0,4,1,2,0,1,0,1,3,0,0,0,1,2,0,0,0,0,0,1,0,1,0,3,0,2,0,0,0,0,0,0,0,0,
10309,雲林縣斗六市,光興里,410,926,442,484,7,2,3,1,1,2,3,3,3,2,2,2,4,3,4,4,4,2,2,3,7,1,3,5,0,4,1,4,1,0,6,2,3,4,4,5,7,3,6,3,4,2,9,7,4,5,8,9,3,5,5,7,7,8,3,7,4,12,7,6,9,11,7,11,6,11,5,16,7,6,4,2,7,5,7,8,13,8,8,6,3,4,9,9,6,4,7,2,5,6,9,6,0,7,7,4,8,9,4,11,10,8,3,6,4,7,10,5,6,8,9,5,7,4,5,11,8,11,8,6,10,19,7,13,9,8,7,5,5,3,3,5,3,3,8,4,4,4,3,3,4,4,8,2,2,12,4,4,4,3,5,5,3,5,4,6,3,7,1,1,2,5,4,7,4,2,2,2,2,1,2,1,1,1,2,2,0,2,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
10309,雲林縣斗六市,八德里,1218,3910,1998,1912,9,23,14,9,14,11,9,11,19,10,12,17,18,11,15,16,23,14,26,24,22,16,31,28,28,24,35,24,45,24,32,22,25,26,30,20,36,28,42,24,36,36,33,51,26,39,28,30,44,25,25,23,21,28,32,25,35,22,25,27,38,36,39,32,35,32,29,33,37,43,39,33,31,29,27,24,27,34,31,21,28,26,28,35,28,39,30,29,19,22,32,24,31,25,32,35,32,40,30,26,27,36,35,37,41,28,26,22,25,35,35,39,19,32,31,19,27,24,27,35,28,21,30,15,25,20,12,28,18,16,16,14,10,11,15,11,11,13,13,17,9,14,2,7,11,5,14,8,6,11,12,7,5,10,5,9,7,6,4,10,5,7,1,7,3,0,6,8,4,2,5,8,3,0,2,2,1,4,5,2,2,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,
10309,雲林縣斗六市,公正里,1353,3528,1670,1858,10,5,9,8,9,10,19,15,11,11,21,16,48,35,30,28,33,22,27,15,18,12,27,19,27,22,21,21,29,35,22,34,30,34,37,37,28,27,23,23,31,28,29,29,35,29,31,30,18,27,25,30,24,33,17,15,24,29,27,29,23,17,21,23,25,15,23,19,19,22,20,29,23,29,26,31,28,37,16,31,13,25,26,25,10,32,22,21,16,28,22,36,31,35,26,39,31,36,21,39,42,43,23,35,24,37,27,27,20,30,19,22,25,22,17,27,24,39,23,15,20,16,10,20,20,26,15,20,16,11,9,16,9,10,5,16,6,8,9,8,9,13,9,7,9,12,9,12,4,9,8,10,2,5,9,7,6,9,5,8,6,3,4,7,7,5,6,4,5,3,8,5,7,3,2,2,2,5,2,2,2,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
