統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10309,彰化縣彰化市,三村里,340,1357,701,656,1,3,5,6,6,5,4,5,4,1,6,5,6,3,4,10,3,3,4,9,5,7,6,7,8,3,3,9,7,7,7,8,9,6,16,12,7,10,8,15,9,13,11,15,16,16,11,10,16,15,12,4,12,8,12,20,15,10,7,15,11,11,12,11,19,11,12,11,7,8,9,8,18,9,10,6,5,4,9,10,12,9,6,7,6,6,11,9,11,7,13,9,12,9,13,13,11,8,10,7,7,13,13,11,15,18,14,13,13,11,12,8,13,9,13,6,13,8,10,8,5,5,13,3,12,4,6,4,8,10,7,5,5,5,5,7,1,2,2,1,5,4,5,4,5,4,4,5,3,1,6,5,3,7,1,3,2,5,3,5,5,2,1,3,3,1,1,5,3,2,4,5,0,2,0,4,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
10309,彰化縣彰化市,下廍里,1967,6529,3193,3336,34,24,37,31,40,35,39,33,48,49,48,50,58,43,51,43,45,49,42,47,39,54,59,50,66,71,63,64,67,61,46,37,52,35,46,43,39,34,45,43,48,40,44,43,39,47,54,40,48,43,44,29,37,33,36,34,38,45,37,46,45,47,50,69,52,45,41,48,54,61,53,64,54,59,60,71,41,66,46,61,52,70,54,53,63,53,46,58,47,43,34,54,43,51,42,49,53,43,44,50,50,42,44,47,37,45,40,34,28,46,32,42,36,34,35,21,41,36,38,45,25,44,42,33,35,43,26,42,22,31,26,30,16,17,22,21,22,17,19,12,18,28,19,22,11,21,16,17,19,18,11,17,15,9,16,9,5,11,9,16,9,6,8,11,5,11,9,12,6,5,3,2,3,3,3,5,2,4,1,5,2,1,1,2,2,4,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,
10309,彰化縣彰化市,中央里,366,883,458,425,2,3,2,1,2,4,0,7,4,0,3,1,0,2,4,2,1,1,3,1,0,2,0,2,2,1,2,0,1,3,2,4,2,2,4,2,2,4,5,3,10,1,4,2,1,7,4,2,2,2,12,4,12,1,8,8,5,3,9,5,9,6,6,4,9,5,8,13,6,4,8,8,6,4,3,5,12,4,2,6,6,7,3,4,6,7,8,3,8,7,5,3,5,6,7,7,7,12,8,3,5,5,5,3,9,6,7,8,7,8,9,8,8,10,6,8,5,12,15,12,6,7,7,6,11,4,13,9,5,7,8,4,3,3,10,5,3,3,3,5,5,5,9,9,2,3,5,5,5,3,10,5,7,7,4,7,2,2,4,6,3,7,2,3,1,4,3,4,1,2,3,5,0,1,0,2,1,5,2,0,1,1,0,2,1,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,
10309,彰化縣彰化市,中山里,345,976,488,488,2,2,7,4,11,3,6,5,6,3,4,3,5,7,9,4,9,4,8,4,3,5,3,5,3,0,5,4,6,3,5,4,1,2,7,3,10,5,6,4,4,4,6,4,14,7,9,6,7,6,6,8,7,9,8,2,10,7,9,7,10,10,9,13,5,12,11,10,7,8,9,7,5,4,3,3,3,6,5,6,4,2,8,12,6,14,4,4,7,5,7,2,9,6,5,5,9,9,5,7,8,6,6,9,7,10,6,10,6,7,11,11,4,16,9,3,6,6,11,5,6,7,4,5,7,5,2,11,4,7,2,3,7,5,1,3,3,1,3,5,1,5,2,3,3,1,6,4,4,7,3,5,3,2,2,3,3,4,0,4,2,6,2,5,2,3,1,1,2,5,3,3,3,3,2,1,2,1,0,2,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,
10309,彰化縣彰化市,中庄里,992,2989,1480,1509,9,11,13,14,17,12,16,16,7,15,7,7,7,6,7,3,13,11,11,6,13,10,14,12,23,22,31,16,18,27,31,18,18,17,20,21,23,23,15,15,18,21,17,19,19,13,12,17,22,23,21,17,22,19,21,24,11,19,23,24,41,22,29,26,31,27,32,32,36,33,32,36,32,35,20,17,33,28,25,25,25,25,23,27,30,29,23,23,21,25,22,15,21,20,16,20,14,18,24,22,18,18,20,12,9,26,18,13,19,31,17,22,12,22,19,16,15,27,17,26,19,25,23,17,15,27,24,23,20,21,15,20,20,7,9,16,12,14,12,15,11,17,17,10,9,15,12,6,8,12,8,8,5,12,11,6,6,5,5,6,4,3,4,5,2,6,3,2,0,5,1,0,4,0,1,3,4,1,2,0,0,1,1,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
10309,彰化縣彰化市,中正里,687,1911,930,981,5,4,9,8,6,8,8,8,8,6,11,8,17,11,7,10,10,10,10,8,18,9,15,10,23,17,13,16,19,17,12,21,13,11,18,15,16,15,16,12,16,10,13,11,13,4,7,8,10,17,15,13,15,12,9,18,16,11,11,15,19,13,7,9,12,16,14,14,7,10,10,19,7,9,18,9,12,16,15,13,9,18,10,15,8,10,13,22,12,18,19,12,10,18,13,13,16,18,15,13,14,17,12,14,14,11,18,14,9,11,13,16,12,14,15,8,10,13,8,12,11,10,13,17,5,18,13,10,10,14,10,8,13,5,1,6,2,7,7,9,8,5,5,9,6,7,4,8,8,4,5,13,3,9,2,11,8,7,2,7,11,6,6,3,2,5,4,4,2,4,6,5,5,0,1,4,2,2,2,0,0,1,0,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,
10309,彰化縣彰化市,五權里,1671,5191,2477,2714,21,19,26,31,32,28,25,21,28,11,31,31,25,23,21,34,29,23,36,28,35,39,35,34,49,35,39,44,43,38,42,35,34,45,39,40,43,39,37,51,31,37,46,36,41,34,43,34,47,47,33,34,34,33,44,37,34,34,40,35,46,41,43,40,37,35,40,57,45,52,53,57,38,52,45,50,36,46,49,64,52,51,37,40,26,35,36,39,34,38,29,33,31,43,35,47,35,32,44,42,25,40,30,43,28,45,38,46,33,42,28,34,33,37,26,34,31,43,31,40,25,38,18,45,24,29,32,35,21,26,15,18,25,30,23,16,12,9,7,9,8,14,6,12,16,7,9,7,8,11,9,12,9,10,7,8,5,13,6,9,5,7,7,8,5,10,3,2,2,6,3,5,1,4,3,0,2,2,1,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10309,彰化縣彰化市,介壽里,1331,2958,1550,1408,10,7,7,11,8,9,12,13,11,8,14,7,10,15,13,7,17,8,13,10,15,10,3,4,8,2,7,13,15,6,5,15,23,9,16,17,19,15,18,3,21,17,26,14,26,13,23,22,23,19,18,19,18,19,25,21,17,13,22,18,17,23,19,18,24,15,32,25,16,22,14,22,21,16,16,15,29,15,20,18,9,16,17,23,23,15,16,23,24,20,18,18,21,21,34,27,26,23,33,22,29,35,26,26,32,35,34,18,42,17,35,28,38,29,24,26,31,24,28,24,27,16,17,21,26,21,20,16,24,15,12,15,14,17,10,10,10,16,8,11,12,9,12,12,10,11,12,15,4,21,8,16,7,15,7,14,5,13,5,6,4,10,9,9,4,16,8,11,8,4,9,8,8,6,9,5,6,10,4,7,4,2,4,2,5,1,4,3,1,0,1,1,0,0,0,0,0,0,0,0,1,0,
10309,彰化縣彰化市,信義里,435,1184,549,635,1,2,7,3,2,6,7,4,2,5,9,12,4,8,11,15,9,13,4,7,12,17,11,10,9,12,17,9,15,6,5,13,8,11,11,11,8,5,12,9,4,6,10,7,7,7,5,5,5,5,5,8,4,4,4,4,2,3,4,6,3,8,5,9,7,8,4,8,4,7,8,9,3,11,9,16,6,11,5,11,5,8,5,7,9,9,5,7,9,9,9,7,6,6,5,10,5,12,11,8,6,7,9,5,7,6,11,7,5,12,8,4,4,7,12,12,11,2,9,9,8,4,8,9,4,9,13,10,10,9,7,9,6,3,5,6,2,5,0,5,5,2,5,3,8,6,4,2,3,7,6,2,3,3,5,6,3,3,7,6,2,7,4,3,3,6,0,6,0,1,3,2,2,2,0,1,1,4,1,4,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
10309,彰化縣彰化市,光南里,642,1779,863,916,4,5,8,10,7,7,7,9,7,10,11,11,20,13,13,9,10,18,6,15,11,7,8,3,0,4,7,5,14,10,5,9,14,7,16,11,16,10,10,9,9,10,18,13,13,5,12,12,13,7,10,9,17,20,8,10,14,18,15,13,15,14,12,14,11,13,14,12,14,15,13,9,15,19,23,16,13,11,6,10,7,21,12,16,9,20,6,9,14,15,16,9,15,17,10,15,14,18,13,12,12,22,18,8,16,18,7,14,16,15,15,7,9,12,11,20,15,21,9,15,14,3,12,5,13,11,9,16,8,12,7,12,6,10,7,7,6,5,3,2,10,11,3,3,1,3,8,6,4,6,7,9,2,8,4,3,6,4,3,5,3,9,3,5,3,5,2,5,0,2,5,1,5,4,1,0,3,3,0,1,0,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
