統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10309,苗栗縣苗栗市,上苗里,778,2033,1007,1026,7,10,5,8,4,11,7,9,4,6,16,18,18,5,14,8,15,15,14,10,13,10,5,10,9,5,12,8,17,12,6,7,15,10,13,9,8,18,17,14,11,14,11,9,11,15,11,13,15,15,6,10,12,17,16,13,10,7,10,18,14,21,12,18,13,11,9,9,16,10,22,25,12,8,19,11,13,19,12,8,11,12,15,13,11,14,15,18,11,15,12,17,13,11,14,7,16,14,12,20,11,12,9,15,21,10,15,17,17,16,16,17,18,12,20,18,20,11,13,15,13,14,14,12,17,14,15,18,13,20,8,7,7,10,16,12,6,5,10,10,5,5,4,9,8,10,10,12,8,8,10,12,11,8,9,14,10,2,5,5,4,3,5,4,7,9,3,3,3,5,4,6,2,6,6,4,1,6,3,2,1,3,1,3,2,3,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,
10309,苗栗縣苗栗市,中苗里,540,1423,692,731,8,7,4,9,7,6,1,5,7,5,6,7,9,8,11,8,8,7,10,7,13,7,12,9,13,7,9,14,10,14,13,7,7,7,13,6,15,10,8,11,8,11,11,10,9,4,7,11,9,7,11,6,8,11,4,14,6,5,6,15,11,7,11,9,12,13,6,9,11,9,7,9,15,13,11,15,14,10,10,10,9,19,7,8,10,11,11,15,9,11,6,9,13,4,14,13,8,11,11,12,9,16,6,6,10,11,13,7,11,12,11,9,8,10,6,6,9,9,14,12,8,8,7,7,6,7,6,8,7,9,2,7,6,6,4,12,3,6,2,8,4,7,3,4,3,8,3,5,3,5,5,6,2,5,7,4,3,2,5,1,2,6,1,1,2,7,7,5,6,3,2,2,1,2,2,3,5,2,3,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,
10309,苗栗縣苗栗市,勝利里,1503,4611,2308,2303,20,19,28,22,19,24,24,16,10,12,10,14,14,10,15,8,11,16,18,14,16,7,19,11,20,11,26,16,19,25,24,30,25,17,27,31,30,33,31,42,35,30,38,29,37,29,27,39,37,40,47,50,33,38,45,37,38,28,38,38,43,46,39,45,47,43,33,36,39,39,44,37,34,36,34,31,29,36,27,30,23,25,35,27,30,30,41,29,31,38,37,27,28,28,38,29,32,23,35,32,39,34,34,43,39,48,42,38,36,45,39,41,29,36,44,32,33,48,38,25,26,31,31,31,42,30,22,36,13,25,20,25,14,17,16,18,17,7,18,22,18,15,11,14,15,21,15,22,11,17,17,17,14,10,14,19,13,12,9,15,7,18,12,8,7,16,9,8,9,3,10,11,4,9,5,8,16,4,5,3,6,3,2,4,1,2,4,1,0,3,0,2,0,1,0,1,0,0,0,1,2,0,
10309,苗栗縣苗栗市,北苗里,2158,6254,3076,3178,22,35,28,31,30,25,21,22,33,11,18,41,34,35,26,38,30,21,25,30,35,19,33,29,33,36,43,44,42,43,43,38,37,44,53,28,43,52,53,38,47,33,59,51,45,46,46,55,43,44,32,41,40,37,36,55,42,31,41,43,53,40,58,61,66,70,49,52,57,57,57,55,41,43,41,48,48,43,33,59,37,38,45,43,50,47,49,50,35,47,43,42,50,53,40,39,44,44,43,54,39,55,47,54,31,40,45,43,50,51,55,43,41,46,48,54,35,52,38,55,37,47,48,40,53,53,41,45,34,41,30,32,23,22,26,23,14,10,22,19,19,25,22,21,23,31,25,14,16,10,17,24,17,20,20,13,12,12,6,20,12,14,12,6,11,10,15,5,3,9,11,8,8,8,6,4,2,5,5,5,0,2,2,1,0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,
10309,苗栗縣苗栗市,南勢里,807,2420,1274,1146,12,10,15,13,13,16,12,10,14,8,13,9,7,5,11,3,7,6,5,12,7,9,9,5,10,13,17,10,16,14,12,15,15,11,17,21,16,25,30,18,23,19,18,23,32,18,14,18,27,21,10,18,26,18,21,18,26,15,23,21,15,15,16,18,13,20,25,23,21,11,15,22,22,7,15,15,22,11,21,12,14,12,13,15,11,18,16,20,30,17,19,15,16,16,18,14,31,18,22,16,23,22,19,27,18,23,19,20,19,24,19,16,18,19,18,12,16,14,20,17,17,10,19,11,17,8,13,21,11,6,10,10,10,9,11,10,6,4,5,11,4,6,2,5,5,7,6,7,6,12,7,7,2,5,6,6,5,10,5,7,5,8,4,2,5,6,13,3,8,5,5,6,5,5,5,2,6,1,5,1,0,2,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10309,苗栗縣苗栗市,嘉新里,1090,3586,1797,1789,19,19,19,24,23,13,11,16,13,14,22,8,10,13,12,17,12,13,16,11,10,10,13,18,16,14,21,16,16,15,20,25,16,17,23,16,18,33,28,26,23,25,26,28,25,23,31,22,32,26,28,33,33,32,25,19,48,37,37,30,33,29,25,35,32,36,37,33,26,26,30,32,36,27,23,33,28,23,17,19,23,20,16,14,12,17,35,18,26,22,30,25,23,18,19,16,19,17,24,27,27,29,26,38,23,31,38,32,29,28,30,35,30,32,28,29,29,39,37,29,31,24,30,28,25,21,22,23,21,18,15,14,19,22,14,13,8,15,10,15,11,7,11,17,13,14,12,11,11,11,9,14,6,12,9,10,4,6,6,5,5,7,8,9,9,10,8,7,2,7,4,7,3,5,3,4,0,2,1,1,1,2,3,1,1,0,1,2,0,0,1,0,0,0,0,1,1,1,2,1,0,0,
10309,苗栗縣苗栗市,嘉盛里,1351,4333,2175,2158,12,15,10,21,18,30,15,24,19,8,14,17,9,15,19,21,20,15,19,19,22,19,21,21,23,18,22,23,33,28,25,23,25,29,31,23,20,34,33,27,27,32,36,25,42,26,34,31,34,37,36,36,31,35,39,29,32,42,37,32,30,24,37,40,50,33,38,32,40,42,41,41,20,19,40,28,32,38,31,27,33,27,32,26,33,31,38,35,28,26,28,35,39,27,23,22,32,37,21,35,23,28,32,33,38,41,36,39,28,26,32,23,30,31,32,28,34,32,25,29,17,23,29,23,23,27,33,32,17,20,18,24,26,20,15,19,17,19,14,10,20,24,17,16,21,20,17,16,14,26,11,24,17,8,13,7,8,8,12,15,6,11,9,8,15,7,7,9,10,10,6,11,6,6,7,3,3,3,0,6,4,5,1,3,3,2,2,0,1,2,1,0,0,0,1,0,0,0,0,0,0,1,
10309,苗栗縣苗栗市,大同里,263,673,319,354,2,0,5,1,5,4,1,2,3,3,0,2,1,4,3,5,4,5,2,3,3,1,2,5,3,2,2,1,2,2,3,2,3,0,2,1,4,1,4,3,5,0,2,5,7,1,3,5,1,10,6,7,3,4,1,6,3,5,4,5,6,4,7,2,6,5,2,12,7,4,8,3,5,4,8,7,4,6,2,1,7,5,2,7,5,5,7,5,3,5,2,4,2,4,5,4,5,6,4,5,2,3,1,4,6,3,5,0,9,4,7,4,8,10,8,5,4,7,7,7,0,4,3,10,6,3,6,8,5,7,3,4,3,5,2,7,5,1,4,2,3,2,1,4,2,2,1,2,5,7,5,4,1,2,2,4,1,3,1,5,3,2,3,3,1,0,3,4,0,4,1,0,3,3,1,3,0,1,0,1,1,1,0,1,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,
10309,苗栗縣苗栗市,建功里,1886,5347,2580,2767,23,17,19,18,25,25,19,18,9,18,30,26,42,24,35,20,33,27,31,39,32,31,55,44,48,29,36,37,48,51,39,36,49,27,41,35,38,33,47,40,38,37,40,32,38,37,40,35,44,33,42,26,33,30,39,39,40,38,40,40,37,36,47,45,40,49,31,41,31,53,43,37,31,42,33,43,26,47,34,41,27,49,31,46,42,43,37,43,43,38,24,31,42,42,32,38,34,46,33,56,35,36,23,38,41,52,33,35,24,35,32,53,40,40,32,45,27,42,37,41,29,41,33,32,24,46,23,33,34,27,18,18,20,27,19,21,22,22,21,15,15,16,16,19,20,22,18,21,14,22,15,18,25,10,12,14,17,17,6,9,8,14,9,14,5,9,4,10,6,5,6,8,6,5,3,4,5,5,4,3,2,4,0,2,1,0,0,6,2,2,1,0,0,0,1,0,0,0,1,0,0,1,
10309,苗栗縣苗栗市,恭敬里,602,1637,797,840,9,6,7,15,14,5,6,8,6,6,2,7,5,7,7,10,6,7,7,8,8,3,8,3,8,5,5,5,9,6,7,12,9,10,12,9,10,11,7,11,9,13,13,17,13,10,10,15,9,3,17,10,11,8,12,11,10,11,13,14,16,15,17,8,16,19,13,15,16,20,11,18,11,14,12,12,7,9,9,8,14,8,14,14,13,13,7,8,13,9,11,14,11,12,14,13,10,8,19,9,14,20,15,21,11,15,8,16,12,12,14,15,8,12,14,22,13,15,15,12,8,4,7,9,10,10,13,11,2,7,13,12,3,4,3,5,6,6,3,4,9,3,10,7,2,5,8,14,5,1,5,12,7,6,7,7,3,4,4,6,1,4,3,0,2,2,1,4,5,4,0,4,1,1,2,5,2,2,1,0,1,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
