統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10309,南投縣南投市,三和里,1196,3505,1749,1756,13,11,14,9,11,15,13,16,19,10,15,10,20,30,20,17,26,9,27,12,23,19,19,21,15,20,22,26,27,15,20,23,23,20,28,25,18,13,20,24,16,24,29,22,26,17,21,23,23,21,22,25,20,28,19,20,22,23,26,27,25,33,22,19,33,23,29,22,27,27,24,24,26,21,32,33,21,27,19,32,16,18,29,26,25,8,26,27,28,21,14,34,29,25,25,18,17,26,30,30,25,20,25,21,30,32,23,21,25,24,19,25,26,15,22,23,28,24,18,29,23,26,24,21,16,23,35,24,11,15,16,29,17,24,16,20,8,13,10,17,12,12,18,17,20,22,17,18,23,16,13,14,15,10,13,16,15,16,13,17,6,7,9,13,7,15,7,8,3,7,7,10,3,8,6,4,3,1,3,3,3,2,1,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,
10309,南投縣南投市,三民里,365,1029,495,534,6,6,0,5,4,5,5,1,0,3,4,0,3,4,5,5,6,4,1,3,5,1,7,6,4,7,5,4,6,8,8,7,10,7,5,4,7,12,6,2,9,9,5,10,8,9,5,10,7,9,8,6,11,10,8,7,5,9,9,6,5,5,17,7,6,11,8,11,5,6,4,7,7,5,10,7,5,7,13,5,3,5,2,7,7,7,5,9,5,3,6,7,8,11,4,6,4,8,3,9,12,7,7,7,7,9,9,9,5,10,9,10,6,6,7,7,13,5,16,7,6,6,7,11,7,5,10,11,10,5,6,2,0,4,3,2,4,2,1,3,3,2,1,3,3,7,2,3,7,4,2,4,4,7,2,5,3,4,3,4,3,6,2,5,1,3,3,5,0,2,3,5,1,1,3,3,1,2,0,5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10309,南投縣南投市,三興里,2161,6636,3327,3309,20,22,18,25,32,22,28,26,30,24,30,30,49,43,47,38,37,23,47,36,45,36,39,34,47,53,37,36,64,39,40,44,68,49,50,56,54,68,57,52,54,53,62,69,62,51,58,54,74,60,56,59,61,38,46,41,46,50,56,41,48,50,50,43,43,44,52,53,60,38,31,40,52,42,41,47,48,54,36,42,41,44,43,43,35,47,37,45,51,52,47,47,53,62,53,65,53,71,46,59,52,44,60,62,46,61,48,55,59,56,61,67,54,45,49,53,50,45,36,42,35,43,46,40,38,38,36,46,28,28,23,19,20,25,20,25,11,19,11,12,15,19,16,13,14,18,19,18,17,4,15,14,9,11,14,13,9,14,6,9,7,12,7,13,6,8,8,16,6,6,2,11,8,3,11,7,3,2,5,2,3,3,2,2,0,1,3,3,1,2,1,0,1,0,0,0,1,0,0,0,1,0,
10309,南投縣南投市,仁和里,219,614,296,318,0,1,1,2,0,1,2,0,3,2,4,1,1,5,2,1,2,2,1,4,2,5,1,3,1,4,3,2,2,4,4,0,4,4,6,1,6,6,5,4,5,3,4,3,2,5,7,4,6,5,8,7,3,8,3,3,5,7,5,3,7,4,7,5,6,5,5,5,8,8,4,2,2,3,3,0,3,2,1,4,1,5,2,1,3,6,6,6,2,4,1,2,6,4,2,2,3,8,4,5,7,10,6,3,2,4,5,5,5,4,2,8,3,8,4,8,5,5,4,7,7,2,7,4,4,3,6,3,3,4,3,3,2,3,1,4,3,1,4,1,3,0,4,1,4,6,2,2,1,4,3,2,2,1,2,2,5,2,1,1,1,2,1,5,2,4,0,2,3,1,0,2,2,3,0,1,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,
10309,南投縣南投市,光明里,582,1333,614,719,1,1,1,2,2,0,2,2,3,2,3,1,5,5,2,4,2,4,8,3,3,8,8,5,11,10,6,2,9,6,4,7,5,6,5,4,6,8,3,9,11,2,4,7,6,7,3,7,7,3,2,3,9,3,4,1,1,4,6,7,8,3,4,5,5,11,5,3,8,9,5,4,2,4,4,5,1,6,4,5,5,6,5,5,10,12,8,11,9,2,11,10,11,12,8,13,9,7,8,13,12,9,11,8,7,11,10,10,5,7,3,14,9,8,5,10,9,8,6,10,6,4,6,7,9,10,10,8,9,15,8,8,6,13,1,10,9,7,6,13,5,19,7,19,6,21,8,31,11,32,10,9,16,26,4,10,13,7,12,9,5,12,8,7,10,7,7,7,12,10,9,3,9,3,9,4,5,2,8,3,5,2,4,3,6,1,2,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,
10309,南投縣南投市,光榮里,631,1453,727,726,0,1,0,2,2,1,2,1,1,3,3,0,4,1,2,2,1,2,4,4,2,2,10,2,9,11,11,4,8,5,11,6,8,6,14,4,6,3,11,7,7,5,6,7,9,6,11,4,7,1,2,5,14,6,10,3,8,6,10,3,6,7,4,1,8,8,7,5,6,5,3,11,4,6,4,4,5,2,9,3,3,2,6,5,5,5,8,4,13,14,12,4,8,9,7,7,17,12,9,6,11,7,8,15,8,7,9,8,6,13,18,8,11,16,9,8,11,2,14,11,8,13,5,16,11,7,11,15,11,11,13,17,9,10,5,7,6,13,5,11,7,14,7,13,9,14,17,15,6,19,4,13,8,17,4,16,5,10,8,21,8,10,7,11,7,11,9,12,11,11,11,7,13,13,7,16,8,5,10,8,7,6,8,2,5,3,5,4,3,1,4,2,0,1,1,3,1,0,0,0,1,0,
10309,南投縣南投市,光華里,486,1176,553,623,4,0,0,0,2,1,4,1,2,0,2,5,12,10,9,8,11,8,5,7,8,6,7,5,6,5,5,3,5,4,3,4,2,2,3,5,4,4,5,6,6,6,8,3,3,11,7,5,3,6,6,2,4,7,7,4,7,1,9,9,2,3,6,6,5,4,7,6,4,3,8,5,9,4,6,3,5,4,6,4,0,6,3,2,6,6,5,3,4,9,7,6,9,5,6,4,3,13,5,9,5,3,6,5,13,8,5,10,8,8,8,16,10,8,10,10,7,5,10,8,6,4,12,13,6,6,10,11,9,15,4,12,10,14,4,8,5,5,1,5,8,3,6,10,1,10,4,9,4,10,4,17,3,13,5,14,4,16,5,12,4,8,7,13,7,5,6,6,9,10,4,11,9,10,5,4,11,3,5,11,5,1,8,2,4,1,3,1,3,2,0,0,1,1,2,1,0,1,1,0,1,1,
10309,南投縣南投市,光輝里,236,717,338,379,0,1,2,0,1,1,2,5,3,3,6,3,7,13,7,7,4,8,3,8,3,11,7,9,8,6,13,5,5,4,4,7,7,2,8,6,3,1,3,4,5,7,8,2,1,2,4,2,2,7,4,3,6,0,5,0,1,4,2,7,3,1,4,6,3,6,6,5,3,7,4,7,6,3,5,5,5,8,7,5,4,4,1,7,5,5,5,9,4,2,4,5,4,7,7,3,5,8,6,4,5,4,7,4,2,1,6,3,6,6,1,7,3,6,3,7,8,3,7,7,4,0,4,4,3,2,4,4,4,7,2,8,7,2,3,2,2,3,2,3,2,4,1,2,1,2,2,5,1,4,3,3,2,3,3,1,0,0,1,4,2,4,1,2,2,2,0,1,1,0,0,4,1,1,1,3,1,1,1,0,3,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10309,南投縣南投市,內新里,549,1809,990,819,13,6,8,3,10,3,3,3,4,4,3,3,6,1,6,1,4,8,8,6,12,4,10,13,24,18,20,19,28,19,12,12,15,18,12,14,18,14,10,10,20,13,13,17,18,6,9,13,14,9,8,13,14,8,9,7,9,14,10,13,20,14,12,14,13,10,21,7,16,13,13,10,15,12,17,5,13,13,12,11,15,16,17,18,16,14,15,14,19,6,19,10,12,9,16,13,11,12,20,11,13,16,20,12,18,15,15,13,14,6,13,8,15,15,14,10,12,8,13,12,9,10,9,10,6,11,11,15,6,6,13,6,7,6,5,6,7,5,6,6,9,4,6,5,10,7,2,6,7,6,6,5,5,2,7,4,9,6,6,6,3,2,5,5,4,6,5,6,3,1,4,5,3,6,1,8,5,3,0,1,0,0,0,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
10309,南投縣南投市,內興里,2595,8010,3991,4019,22,12,31,29,31,27,20,28,29,14,28,24,15,19,23,30,32,25,34,22,46,34,69,58,132,105,73,89,109,97,76,66,69,71,69,79,61,72,75,81,61,70,59,53,78,55,64,62,62,61,53,48,55,45,60,53,61,57,48,59,57,60,58,48,62,54,54,48,61,43,45,48,72,39,49,65,56,62,50,68,43,54,45,58,54,62,62,63,61,73,55,54,57,77,70,75,65,60,54,77,61,71,73,82,62,62,51,69,54,55,74,67,56,50,45,66,60,61,51,60,54,52,49,53,49,51,42,41,46,28,29,38,38,30,18,30,12,21,17,12,25,28,19,22,24,15,15,22,18,13,17,17,15,18,16,20,13,14,10,18,12,14,8,8,14,3,11,14,8,14,15,6,6,9,8,7,4,4,1,3,7,6,3,4,1,3,1,1,2,1,2,1,0,0,0,0,0,0,0,1,0,1,
