統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10309,基隆市中正區,中正里,1028,2253,1205,1048,2,4,3,3,5,6,3,2,2,2,8,5,5,6,2,4,0,11,7,7,9,3,3,4,8,6,6,12,11,6,15,7,5,8,15,7,9,10,8,11,9,15,15,12,14,5,17,10,16,12,16,17,18,20,19,19,20,13,18,16,16,15,18,16,18,13,23,13,17,14,12,19,13,13,14,15,20,11,16,12,20,20,13,20,22,19,20,19,19,10,22,9,31,11,21,18,22,20,27,23,18,20,23,17,28,19,30,17,19,22,24,18,23,15,29,22,34,11,25,30,19,21,18,11,21,16,20,22,17,14,9,21,15,17,15,17,9,14,10,5,10,11,9,13,16,14,8,8,5,12,4,8,6,9,9,5,3,4,10,3,5,6,3,9,11,4,5,2,2,3,0,1,7,1,4,5,2,4,1,1,1,1,2,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,
10309,基隆市中正區,中濱里,628,1522,803,719,5,5,5,8,7,5,2,1,3,2,6,5,0,0,7,2,5,4,6,4,3,2,5,7,4,5,6,7,5,9,12,6,8,7,9,7,19,6,13,5,14,5,12,13,12,10,12,11,11,8,10,4,7,12,17,13,11,13,7,9,13,11,10,8,16,13,22,17,10,7,19,10,9,16,11,4,8,11,11,8,13,9,8,9,18,9,12,9,12,7,9,10,16,5,9,9,9,10,14,10,17,15,8,10,19,14,7,10,16,12,19,15,13,18,11,9,8,14,6,14,11,12,12,12,15,11,9,12,11,4,9,31,13,8,6,10,5,6,1,7,8,11,8,8,9,7,4,4,9,8,8,5,3,6,4,1,4,3,6,5,3,3,1,1,2,3,3,4,5,4,3,0,2,2,3,3,1,1,2,3,1,1,0,1,2,1,2,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,
10309,基隆市中正區,中砂里,587,1303,656,647,4,2,1,2,2,7,4,5,1,2,0,3,3,5,1,5,3,1,6,3,2,2,5,2,3,1,7,7,5,5,11,4,5,6,9,7,12,6,9,4,3,5,3,9,10,8,12,10,7,14,7,8,4,6,4,5,7,6,6,6,7,6,8,5,10,14,10,12,12,8,14,11,7,8,7,9,11,8,7,11,13,11,7,4,13,7,11,6,12,12,8,6,14,9,8,7,15,8,14,10,12,12,14,23,8,6,16,9,13,11,12,15,14,10,8,16,11,7,9,21,6,6,9,9,13,15,11,3,4,15,6,7,13,11,8,7,2,8,2,3,5,7,8,10,8,8,10,9,9,6,7,6,1,5,3,11,4,7,5,7,5,5,2,1,3,4,5,2,2,1,4,2,6,3,1,2,4,3,2,2,4,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
10309,基隆市中正區,中船里,604,1466,754,712,6,5,0,2,7,1,5,4,1,1,7,3,6,1,6,4,3,4,4,2,14,10,6,4,13,19,10,4,11,8,11,4,8,3,10,8,11,7,13,10,12,9,15,9,13,12,14,7,11,5,8,3,12,9,4,8,7,6,8,6,7,8,11,12,6,10,13,16,8,13,8,8,11,15,14,14,10,8,14,8,10,14,12,13,14,11,6,10,17,9,14,14,7,16,18,9,13,7,17,11,14,11,13,15,8,12,14,9,16,13,11,10,14,7,8,11,11,18,13,6,9,7,6,11,11,11,12,14,3,9,4,8,8,8,3,11,5,7,2,6,2,8,5,4,6,11,4,8,5,7,6,8,6,8,4,9,3,2,6,8,3,4,1,5,5,4,3,3,4,4,4,1,0,1,2,3,3,2,3,0,3,0,0,1,2,2,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,
10309,基隆市中正區,信義里,464,1078,541,537,2,3,4,0,4,2,1,2,2,1,1,0,0,2,1,2,3,2,1,1,2,4,8,3,6,7,7,4,5,4,6,6,4,4,9,9,7,5,5,6,4,7,15,11,5,6,6,6,7,8,7,7,8,4,3,6,7,7,4,3,6,9,5,7,8,8,6,7,9,9,7,7,5,7,8,8,5,7,9,6,10,3,9,9,10,5,7,7,7,9,5,7,11,7,12,7,8,8,11,6,3,8,8,10,9,14,12,8,8,11,9,10,16,6,6,7,4,7,10,14,13,12,9,12,9,11,7,7,11,5,6,9,4,4,9,9,2,3,6,4,7,2,6,9,1,6,8,5,3,5,8,5,3,9,4,3,6,9,4,3,5,3,3,3,2,1,3,4,5,5,0,3,0,3,1,1,4,4,0,0,0,2,1,2,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,
10309,基隆市中正區,入船里,438,1041,519,522,1,1,1,3,4,2,3,2,4,3,2,2,3,1,3,0,1,4,4,1,4,2,8,12,7,10,7,9,6,7,4,4,6,3,8,5,7,7,5,4,5,5,4,8,10,6,4,6,6,6,4,6,14,2,3,5,8,7,6,8,7,2,2,6,16,8,2,4,8,6,5,8,6,6,9,7,8,11,8,7,11,9,13,7,8,4,7,10,8,6,2,10,5,6,7,7,9,12,10,8,9,5,13,5,10,6,11,7,7,13,10,15,8,13,5,7,10,8,7,11,4,10,10,8,9,6,7,9,4,11,8,6,6,6,4,6,3,3,3,3,2,7,3,4,6,5,3,5,4,3,3,9,3,6,7,3,2,5,4,7,7,3,1,3,4,5,3,1,3,4,5,1,0,2,0,0,1,3,0,2,2,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,
10309,基隆市中正區,八斗里,645,1789,965,824,5,1,4,8,2,8,6,4,4,5,6,7,5,5,9,6,4,8,7,7,6,5,6,3,6,3,13,5,12,13,11,9,13,4,10,6,12,13,15,8,15,8,9,11,10,14,18,13,15,8,13,14,19,20,17,19,8,14,18,12,23,17,28,15,18,19,17,8,22,9,9,10,9,13,9,8,13,9,17,9,8,11,10,12,16,10,11,9,10,5,15,6,11,9,13,12,22,17,17,11,18,19,17,12,21,7,23,17,16,17,21,19,11,22,21,13,18,17,13,15,13,11,15,11,18,14,20,14,8,6,10,8,9,12,11,9,4,3,5,3,4,4,7,8,9,7,6,11,10,7,4,3,6,3,3,10,4,7,4,4,2,3,4,3,3,3,4,2,3,4,3,5,0,2,0,2,0,1,0,0,0,0,0,2,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,
10309,基隆市中正區,和憲里,501,1224,644,580,4,2,7,1,4,3,4,5,5,0,3,8,5,5,8,3,6,2,5,7,6,1,2,6,11,2,7,7,7,10,9,6,9,7,6,8,7,4,8,10,9,8,5,11,10,10,9,8,8,8,6,6,5,10,7,6,7,10,12,6,12,11,10,6,12,8,11,10,8,13,8,6,11,10,17,8,11,10,13,10,7,14,11,5,12,7,15,4,9,8,13,5,8,4,6,14,12,10,8,8,12,9,9,11,11,8,8,14,13,9,9,12,5,8,10,10,9,7,12,10,4,6,15,14,12,8,11,2,6,9,7,7,4,8,5,8,1,4,6,5,3,2,3,4,0,4,5,3,3,3,3,3,4,6,1,4,4,3,1,3,7,2,1,5,1,5,3,0,4,2,1,4,1,3,4,3,2,1,6,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10309,基隆市中正區,平寮里,617,1568,836,732,5,3,5,5,5,4,2,3,0,3,4,3,0,4,3,3,2,3,3,5,3,10,12,13,14,9,8,10,8,10,4,6,6,10,10,9,4,4,8,12,13,9,13,4,12,13,13,8,9,7,16,11,17,7,11,6,15,7,13,11,15,16,9,10,14,15,14,13,11,10,7,14,15,8,16,5,10,10,20,11,15,8,17,4,17,9,13,11,15,7,22,10,16,11,11,7,13,5,12,16,13,10,12,4,11,10,13,12,10,10,18,11,18,15,15,20,20,7,11,9,9,15,15,14,6,14,10,16,7,10,7,17,7,12,13,10,3,5,6,4,12,7,7,6,6,7,4,3,6,8,8,11,3,7,2,8,5,5,5,5,3,3,2,2,3,2,2,3,7,2,5,5,0,3,2,3,4,4,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
10309,基隆市中正區,建國里,939,2317,1216,1101,4,3,6,2,6,9,5,3,12,5,12,7,13,11,19,8,9,4,6,8,8,5,2,7,11,6,11,7,14,6,12,13,11,16,16,8,25,8,12,14,16,23,17,18,25,13,11,14,27,18,20,16,14,16,12,18,15,16,16,14,17,20,22,14,16,11,15,10,21,20,13,12,17,17,16,13,18,13,11,13,18,11,11,13,20,14,19,15,18,12,16,9,22,20,16,20,20,26,18,20,16,20,21,19,20,10,18,17,23,18,23,20,22,26,22,26,21,20,30,26,25,23,20,25,26,19,25,16,18,15,13,12,10,13,11,6,4,6,11,14,5,13,5,9,8,6,11,12,8,13,5,11,5,5,2,8,3,4,3,5,2,7,3,3,4,5,6,6,11,4,1,4,1,4,5,0,4,2,2,1,3,4,4,0,3,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,2,
