"統計年月","區域別","村里","戶數","人口數","人口數-男","人口數-女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","臺東縣臺東市","中山里","397","1087","529","558",102,84,100,125,112,103,53,70,19,29,386,411
"10309","臺東縣臺東市","中心里","1348","4181","2032","2149",388,379,379,490,382,405,146,190,52,54,1347,1518
"10309","臺東縣臺東市","中正里","386","933","460","473",110,101,88,94,120,133,72,80,20,28,410,436
"10309","臺東縣臺東市","中華里","735","1941","995","946",225,200,262,206,210,224,93,123,32,39,822,792
"10309","臺東縣臺東市","仁愛里","342","838","429","409",107,100,95,72,126,108,39,53,10,22,377,355
"10309","臺東縣臺東市","光明里","1315","3457","1611","1846",286,306,412,537,235,307,93,124,38,28,1064,1302
"10309","臺東縣臺東市","卑南里","1203","3109","1569","1540",345,332,439,393,332,330,132,178,30,45,1278,1278
"10309","臺東縣臺東市","南榮里","1113","3118","1671","1447",356,298,417,365,316,319,119,135,128,48,1336,1165
"10309","臺東縣臺東市","南王里","1117","3057","1571","1486",380,311,363,343,325,371,135,167,55,44,1258,1236
"10309","臺東縣臺東市","四維里","285","725","389","336",82,70,98,78,88,67,41,56,9,7,318,278
"10309","臺東縣臺東市","大同里","380","943","470","473",102,95,97,105,102,103,55,65,17,16,373,384
"10309","臺東縣臺東市","富岡里","685","1768","937","831",191,176,228,173,238,196,97,123,37,33,791,701
"10309","臺東縣臺東市","富豐里","392","1005","527","478",120,106,146,108,103,90,56,65,15,24,440,393
"10309","臺東縣臺東市","寶桑里","412","1046","507","539",103,112,137,108,120,136,41,67,16,18,417,441
"10309","臺東縣臺東市","岩灣里","947","2171","1158","1013",250,202,332,283,242,212,74,105,80,21,978,823
"10309","臺東縣臺東市","康樂里","573","1556","825","731",175,148,211,195,181,141,74,68,22,20,663,572
"10309","臺東縣臺東市","建和里","609","1641","877","764",196,161,196,173,199,162,102,101,34,38,727,635
"10309","臺東縣臺東市","建國里","623","1551","794","757",171,157,222,160,180,175,87,111,22,34,682,637
"10309","臺東縣臺東市","建業里","572","1493","771","722",169,124,178,170,167,168,78,105,30,38,622,605
"10309","臺東縣臺東市","建興里","409","1116","586","530",132,94,131,119,134,125,71,79,20,24,488,441
"10309","臺東縣臺東市","建農里","828","2286","1197","1089",295,217,345,263,199,237,54,115,68,19,961,851
"10309","臺東縣臺東市","強國里","268","730","379","351",94,84,87,66,104,89,34,43,9,18,328,300
"10309","臺東縣臺東市","復國里","312","769","399","370",80,80,102,79,88,89,39,50,16,14,325,312
"10309","臺東縣臺東市","復興里","221","529","269","260",62,63,61,48,63,56,28,40,13,12,227,219
"10309","臺東縣臺東市","成功里","414","975","485","490",102,93,104,117,115,100,57,69,14,23,392,402
"10309","臺東縣臺東市","文化里","443","1324","657","667",106,113,118,140,124,96,30,47,18,18,396,414
"10309","臺東縣臺東市","新園里","745","1866","986","880",187,165,284,222,188,199,87,85,27,30,773,701
"10309","臺東縣臺東市","新生里","2935","7581","3736","3845",950,869,882,903,798,991,300,359,105,89,3035,3211
"10309","臺東縣臺東市","新興里","517","1232","617","615",116,124,160,128,143,141,74,90,32,21,525,504
"10309","臺東縣臺東市","東海里","1399","3842","1886","1956",397,383,350,446,371,431,148,165,49,51,1315,1476
"10309","臺東縣臺東市","民族里","725","2452","1172","1280",163,200,191,293,152,156,91,97,29,29,626,775
"10309","臺東縣臺東市","民權里","404","1018","523","495",145,111,115,105,121,102,49,69,16,30,446,417
"10309","臺東縣臺東市","民生里","1424","3561","1764","1797",440,388,405,392,445,522,167,204,53,61,1510,1567
"10309","臺東縣臺東市","永樂里","820","2571","1302","1269",255,243,299,319,243,236,93,88,25,34,915,920
"10309","臺東縣臺東市","知本里","554","1566","773","793",165,184,190,187,173,169,68,84,28,27,624,651
"10309","臺東縣臺東市","自強里","1794","5391","2644","2747",565,511,471,589,520,579,196,246,79,92,1831,2017
"10309","臺東縣臺東市","興國里","390","1136","542","594",88,94,115,149,88,86,43,57,9,28,343,414
"10309","臺東縣臺東市","豐原里","457","1413","752","661",173,157,154,135,189,119,77,88,28,35,621,534
"10309","臺東縣臺東市","豐年里","1173","2995","1553","1442",367,325,432,346,289,344,132,162,64,32,1284,1209
"10309","臺東縣臺東市","豐榮里","3479","9382","4601","4781",1099,1057,1114,1194,951,1085,293,396,115,94,3572,3826
"10309","臺東縣臺東市","豐樂里","567","1856","935","921",219,202,202,195,206,200,75,81,26,25,728,703
"10309","臺東縣臺東市","豐田里","859","2412","1233","1179",292,263,312,274,223,263,105,125,52,30,984,955
"10309","臺東縣臺東市","豐谷里","2015","5957","3017","2940",748,660,704,669,616,633,237,307,79,57,2384,2326
"10309","臺東縣臺東市","豐里里","926","2775","1481","1294",332,285,349,280,311,270,121,146,45,62,1158,1043
"10309","臺東縣臺東市","鐵花里","210","497","253","244",54,38,63,57,56,62,29,38,14,19,216,214
"10309","臺東縣臺東市","馬蘭里","1267","4140","1973","2167",368,337,360,471,315,324,128,188,51,52,1222,1372
"10309","臺東縣成功鎮","三仙里","633","1679","920","759",193,156,234,153,222,193,88,96,26,36,763,634
"10309","臺東縣成功鎮","三民里","1140","3281","1704","1577",383,345,408,338,386,366,177,176,49,62,1403,1287
"10309","臺東縣成功鎮","信義里","781","2160","1170","990",203,190,321,200,294,245,131,165,60,66,1009,866
"10309","臺東縣成功鎮","博愛里","329","748","418","330",69,44,106,63,120,89,71,72,11,22,377,290
"10309","臺東縣成功鎮","和平里","359","900","478","422",90,72,117,80,111,127,78,72,21,31,417,382
"10309","臺東縣成功鎮","忠仁里","953","2755","1449","1306",290,269,347,274,330,309,168,143,46,52,1181,1047
"10309","臺東縣成功鎮","忠孝里","487","1168","605","563",121,114,160,113,147,125,84,99,19,36,531,487
"10309","臺東縣成功鎮","忠智里","777","2315","1200","1115",247,206,283,242,244,272,148,136,41,35,963,891
"10309","臺東縣關山鎮","中福里","356","1030","523","507",117,91,102,84,117,138,73,62,20,25,429,400
"10309","臺東縣關山鎮","德高里","695","1969","1052","917",206,162,252,191,217,177,137,155,50,60,862,745
